excluded_venue,trigger,remaining_venues,valid_minutes,share_max_share_gt_0p5,median_max_share,p95_max_share,non_lockin_pivot_change_rate,lockin_pivot_change_rate,difference,rate_ratio,lockin_LWMP_median_kappa_plus0p1,lockin_VWAP_median_kappa_plus0p1,nonlockin_VWAP_median_kappa_plus0p1,nonlockin_pivot_change_rate,bootstrap_ci_1day,bootstrap_ci_7day
BitMEX,quote_or_contract_or_uncertain_volume_convention,"Binance,Bitfinex,Bitstamp,Coinbase,KuCoin,OKX",1051200,0.7119549086757991,0.5730071652076902,0.7902399745361569,0.2732616437882507,0.0878828486613486,-0.185378795126902,0.3216069677508369,0.99999999999989,0.6238499886431672,0.4451777199452998,,,
Binance,dominant_exchange_frequency_0.862,"BitMEX,Bitfinex,Bitstamp,Coinbase,KuCoin,OKX",1051198,0.568680686226572,0.5272568515613503,0.8293459515699056,0.28668153899640747,0.11207237709963944,-0.17460916189676803,0.39092987114543104,0.9999999999998899,0.6304597078650396,0.42052940309760933,0.28668153899640747,"[-0.179164, -0.170102]","[-0.181781, -0.16734]"
