shock_type,gamma,bin_id,x_left,x_right,max_share_mid,n,k,pivot_rate,ci_lo,ci_hi
inflate_only,-0.5,0,0.19614035530747703,0.3748500509989473,0.2854952031532122,3303,455,0.13775355737208597,0.1264201314096824,0.14992863594585104
inflate_only,-0.5,1,0.3748500509989473,0.4034987159049452,0.3891743834519462,3260,508,0.1558282208588957,0.1437835843192825,0.16868305009091678
inflate_only,-0.5,2,0.4034987159049452,0.42343288928051065,0.4134658025927279,3378,596,0.17643576080521017,0.1639504721490088,0.18965615448897452
inflate_only,-0.5,3,0.42343288928051065,0.4396094943837944,0.43152119183215254,3400,672,0.1976470588235294,0.1846056954025899,0.2113708976327617
inflate_only,-0.5,4,0.4396094943837944,0.45389625236016484,0.4467528733719796,3390,705,0.2079646017699115,0.19463661855091374,0.22195371377337625
inflate_only,-0.5,5,0.45389625236016484,0.4670036587536529,0.4604499555569089,3275,689,0.210381679389313,0.19676578084188295,0.2246762308734741
inflate_only,-0.5,6,0.4670036587536529,0.4794299827347946,0.4732168207442238,3381,669,0.19787045252883761,0.18478751669894844,0.2116391875816891
inflate_only,-0.5,7,0.4794299827347946,0.4915059938159603,0.4854679882753774,3393,709,0.2089596227527262,0.19561227694445324,0.2229652628501607
inflate_only,-0.5,8,0.4915059938159603,0.5033032392142271,0.4974046165150937,3372,668,0.1981020166073547,0.18499592322832797,0.21189521052628896
inflate_only,-0.5,9,0.5033032392142271,0.5150054066758956,0.5091543229450614,3365,336,0.099851411589896,0.09017348637230592,0.11044194179148782
inflate_only,-0.5,10,0.5150054066758956,0.5265771663124638,0.5207912864941797,3398,321,0.09446733372572101,0.08508602080220241,0.10476455895436239
inflate_only,-0.5,11,0.5265771663124638,0.5379643943225808,0.5322707803175223,3301,290,0.08785216601029991,0.07866798562225705,0.09799452068364278
inflate_only,-0.5,12,0.5379643943225808,0.5492659579694115,0.5436151761459962,3393,288,0.08488063660477453,0.07596572531015992,0.09473449220955014
inflate_only,-0.5,13,0.5492659579694115,0.56057835550738,0.5549221567383957,3375,280,0.08296296296296296,0.07412450731333867,0.09274972555984484
inflate_only,-0.5,14,0.56057835550738,0.5718930381269598,0.5662356968171699,3309,269,0.08129344212753098,0.07246013079086551,0.0910978250136016
inflate_only,-0.5,15,0.5718930381269598,0.5834538028237133,0.5776734204753365,3260,234,0.07177914110429448,0.06341326679071316,0.08115306265370598
