lambda,shock_label,state,event_count,VWAP_mean_kappa,VWAP_median_kappa,VWAP_p95_kappa,LWMP_mean_kappa,LWMP_median_kappa,LWMP_p95_kappa,LWMP_zero_share,LWMP_one_share
0.001,+0.100%,non_lockin,305575,0.4363862494737955,0.44496597319021775,0.49483731441130535,0.3416573904530684,0.22080690244924162,0.999999999999875,0.19439090239712017,0.08366849382312035
0.001,+0.100%,lockin,745625,0.6362716717828426,0.6230968604883217,0.8073571513170054,0.99999999999989,0.9999999999998899,0.9999999999999643,0.0,1.0
-0.001,-0.100%,non_lockin,305575,0.4363862494738442,0.44496597319052483,0.49483731441152146,0.18554771755158828,0.0751673648358412,0.9894003347109005,0.2955477378712264,0.04837437617606152
-0.001,-0.100%,lockin,745625,0.636271671782913,0.6230968604883217,0.8073571513169546,1.0000000000000009,1.0000000000000009,1.000000000000075,0.0,1.0
0.01,+1.000%,non_lockin,305575,0.4363862494738439,0.44496597319043274,0.4948373144113848,0.04528326218751871,0.023053375860488078,0.16077085167570007,0.1800278164116829,0.0003632496113883662
0.01,+1.000%,lockin,745625,0.636271671782913,0.6230968604883217,0.8073571513169915,1.0000000000000009,1.0000000000000009,1.0000000000000084,0.0,1.0
-0.01,-1.000%,non_lockin,305575,0.4363862494738439,0.4449659731904788,0.49483731441137724,0.024522487858707115,0.0078906202224868,0.11673261807013378,0.2850953121165017,0.00040906487768960155
-0.01,-1.000%,lockin,745625,0.636271671782913,0.6230968604883349,0.8073571513169652,1.0000000000000009,1.0000000000000009,1.0000000000000082,0.0,1.0
