exchange,file_name,volume_field,quote_volume_field,volume_convention,multiplier,dv_formula,integer_ratio,quote_to_base_price_ratio_median,volume_min,volume_median,volume_p95,volume_p99,volume_max,negative_volume_rows,zero_volume_rows,volume_invalid_rows,base_volume_possible,quote_volume_possible,contract_volume_possible,requires_targeted_exclusion,evidence
BitMEX,ETHUSD_1m_BitMEX.csv,Volume,,quote_or_contract,1.0,DV = Volume * 1.0,1.0,,1.0,85729.5,888611.6499999999,2130001.8200000008,28085058.0,0,220159,220159,False,True,True,True,BTC pipeline treats BitMEX integer Volume as quote_or_contract; same rule reused.
Bitfinex,ETHUSD_1m_Bitfinex.csv,Volume,,base,1.0,DV = Volume * venue_price,0.021926,,3.85e-06,64.58943722000001,627.9137145669998,1558.8473241237016,54238.33075306004,0,0,0,True,False,False,False,Fractional continuous Volume matches BTC spot/base-volume rule.
Bitstamp,ETHUSD_1m_Bitstamp.csv,Volume,,base,1.0,DV = Volume * venue_price,0.038122,,1e-08,7.7324917200000005,135.69075977999998,362.8227340755,9904.80292509,0,796353,796353,True,False,False,False,Fractional continuous Volume matches BTC spot/base-volume rule.
Coinbase,ETHUSD_1m_Coinbase.csv,Volume,,base,1.0,DV = Volume * venue_price,0.03664,,1e-08,44.025674475,518.3980252939996,1294.4394872786006,125567.86965943,0,0,0,True,False,False,False,Fractional continuous Volume matches BTC spot/base-volume rule.
KuCoin,ETHUSD_1m_KuCoin.csv,Volume,Amount,base,1.0,DV = Volume * venue_price,0.011622,1.0,8e-10,0.79760229035,26.507109598999996,84.54353620440001,1809.8482989,0,47751,47751,True,False,False,False,Explicit quote/amount field matches Volume * OHLC4 price.
OKX,ETHUSD_1m_OKX.csv,Volume,Volume (Quote),base,1.0,DV = Volume * venue_price,0.000216,1.0000102442030687,1e-05,33.906577,263.8372872,656.4069299800004,20238.640432,0,7183,7183,True,False,False,False,Explicit quote/amount field matches Volume * OHLC4 price.
