Sample,Start date,End date,Valid minutes,Number of venues,Share max_share > 0.5,Median max_share,P95 max_share,Non-lock-in pivot-change rate,Lock-in pivot-change rate,Difference,Rate ratio,"Bootstrap CI, 1-day","Bootstrap CI, 7-day",Maximum lock-in spell,"VWAP q95 gap, lowest concentration bin","VWAP q95 gap, highest concentration bin","Median LWMP pass-through, lock-in","Median VWAP pass-through, lock-in","Median VWAP pass-through, non-lock-in"
BTCUSD 2021-2022 baseline,2021-01-01,2022-12-31 23:59:00,1050207,7,0.5549734480916619,0.5235824709864912,0.8802381071925469,0.2792764192924888,0.0676773682124455,-0.21159905108004332,0.24233112263433296,"[-0.216777, -0.206266]","[-0.220969, -0.201412]",2982,0.0012543189275848,9.653186029965432e-05,0.9999999999998898,0.6637270212896035,0.4168213751882261
BTCUSD post-2022 out-of-sample,2023-01-01 00:00:00+00:00,2025-10-11 11:02:00+00:00,1460823,7,0.5865926262113891,0.5331033970365602,0.8707901193531955,0.26318328559638815,0.07735918846297744,-0.1858240971334107,0.29393655561247806,"[-0.190195, -0.181575]","[-0.192427, -0.179198]",7699,0.0009662599782830848,0.0001304065063286877,0.9999999999998898,0.6286739427776026,0.42420662238628076
