shock_type,gamma,bin_id,x_left,x_right,max_share_mid,n,k,pivot_rate,ci_lo,ci_hi
inflate_only,-0.5,0,0.16794657833855373,0.32945371423311787,0.2487001462858358,3296,634,0.19235436893203883,0.1792593435562442,0.20616570230050238
inflate_only,-0.5,1,0.32945371423311787,0.3571411768295644,0.3432974455313411,3271,566,0.17303576887801894,0.16045760445803295,0.18638103347792098
inflate_only,-0.5,2,0.3571411768295644,0.3770563532014113,0.3670987650154879,3345,599,0.17907324364723468,0.16645014744858483,0.19243263757176365
inflate_only,-0.5,3,0.3770563532014113,0.3935857571425827,0.385321055171997,3270,593,0.18134556574923547,0.16851549086506792,0.19492347331694995
inflate_only,-0.5,4,0.3935857571425827,0.4081124781324397,0.4008491176375112,3398,638,0.1877575044143614,0.17498215075493714,0.2012380706686588
inflate_only,-0.5,5,0.4081124781324397,0.4216009596824666,0.4148567189074531,3288,620,0.18856447688564476,0.1755603027891558,0.20229554543877842
inflate_only,-0.5,6,0.4216009596824666,0.4344423441987721,0.42802165194061936,3338,686,0.2055122828040743,0.19214646851461473,0.2195551513347522
inflate_only,-0.5,7,0.4344423441987721,0.44675247968030873,0.4405974119395404,3353,692,0.20638234416940054,0.1930233217384251,0.22041340402188483
inflate_only,-0.5,8,0.44675247968030873,0.45877259595325726,0.452762537816783,3378,704,0.20840734162226168,0.1950450932682272,0.22243205882547232
inflate_only,-0.5,9,0.45877259595325726,0.4708111286199345,0.46479186228659586,3351,740,0.22082960310355118,0.207108941845992,0.23518961555832774
inflate_only,-0.5,10,0.4708111286199345,0.4828483954709849,0.4768297620454597,3311,695,0.20990637269707038,0.19637486507064658,0.2241102645958811
inflate_only,-0.5,11,0.4828483954709849,0.4950307653086553,0.4889395803898201,3272,753,0.23013447432762837,0.21603319532621335,0.2448686993197305
inflate_only,-0.5,12,0.4950307653086553,0.5074266435783471,0.5012287044435012,3367,545,0.16186516186516187,0.14981027228966326,0.17469076626403207
inflate_only,-0.5,13,0.5074266435783471,0.520074866132104,0.5137507548552256,3277,316,0.09642966127555691,0.08679050191092008,0.10701391705279947
inflate_only,-0.5,14,0.520074866132104,0.5331033970365602,0.5265891315843321,3324,297,0.08935018050541517,0.08012098068822285,0.0995274737334059
inflate_only,-0.5,15,0.5331033970365602,0.546589287763298,0.5398463423999291,3335,273,0.08185907046476762,0.07302852363373058,0.09165182538312608
inflate_only,-0.5,16,0.546589287763298,0.5606231095765379,0.5536061986699179,3472,291,0.08381336405529954,0.07504942859576022,0.09349726236967393
inflate_only,-0.5,17,0.5606231095765379,0.5752977840870855,0.5679604468318118,3369,270,0.08014247551202137,0.0714449604097735,0.08979640947845371
inflate_only,-0.5,18,0.5752977840870855,0.5908210634148128,0.5830594237509492,3349,238,0.07106598984771574,0.06284650806094387,0.08026839483217225
inflate_only,-0.5,19,0.5908210634148128,0.6071633163996064,0.5989921899072096,3360,242,0.07202380952380952,0.06376226278335037,0.08126287752052125
inflate_only,-0.5,20,0.6071633163996064,0.6248862060302598,0.6160247612149331,3257,216,0.06631869818851704,0.05827335398785499,0.07538588294042758
inflate_only,-0.5,21,0.6248862060302598,0.6444423678633692,0.6346642869468144,3299,172,0.052137011215519856,0.045058503977000515,0.06025735494884082
inflate_only,-0.5,22,0.6444423678633692,0.6662605712560713,0.6553514695597202,3271,147,0.04494038520330174,0.03835845935969615,0.052589939488052705
inflate_only,-0.5,23,0.6662605712560713,0.6910809904866043,0.6786707808713378,3431,1,0.0002914602156805596,5.1450414249906706e-05,0.0016492393642831122
inflate_only,-0.5,24,0.6910809904866043,0.7198412132871507,0.7054611018868775,3303,0,0.0,0.0,0.0011617127351972345
inflate_only,-0.5,25,0.7198412132871507,0.7544648125596409,0.7371530129233959,3360,0,0.0,0.0,0.00114202761509341
inflate_only,-0.5,26,0.7544648125596409,0.7966198845044038,0.7755423485320223,3415,0,0.0,0.0,0.0011236554510159228
inflate_only,-0.5,27,0.7966198845044038,0.8450786863315518,0.8208492854179779,3275,0,0.0,0.0,0.0011716332987845462
inflate_only,-0.5,28,0.8450786863315518,0.8972190539995119,0.8711488701655319,3322,0,0.0,0.0,0.0011550760565385916
