lambda,shock_label,state,n,VWAP_mean_kappa,VWAP_median_kappa,LWMP_mean_kappa,LWMP_median_kappa,LWMP_zero_share,LWMP_one_share
0.001,+0.100%,non_lockin,603915,0.41664794307169806,0.42420662238628076,0.16664558927455206,0.03336723930615732,0.3638243792586705,0.05145260508515271
0.001,+0.100%,lockin,856908,0.6595177904625222,0.6286739427776026,0.9999999999998899,0.9999999999998898,0.0,1.0
-0.001,-0.100%,non_lockin,603915,0.4166479430717445,0.42420662238628076,0.5678921741039527,0.6412634562534705,0.15868623895746917,0.18948693110785458
-0.001,-0.100%,lockin,856908,0.6595177904625953,0.6286739427773592,1.0000000000000009,1.0000000000000007,0.0,1.0
0.01,+1.000%,non_lockin,603915,0.41664794307174446,0.4242066223863751,0.023415283676643788,0.003965395372648169,0.3361102141857712,6.623448664133197e-05
0.01,+1.000%,lockin,856908,0.6595177904625954,0.6286739427774607,1.0000000000000009,1.0000000000000009,0.0,1.0
-0.01,-1.000%,non_lockin,603915,0.41664794307174446,0.4242066223863751,0.07759013490713654,0.06651723026586151,0.14720614656036032,3.3117243320665986e-05
-0.01,-1.000%,lockin,856908,0.6595177904625954,0.6286739427774607,1.0000000000000009,1.0000000000000009,0.0,1.0
