lambda,n,max_abs_kappa_vwap_minus_share_dom,mean_abs_kappa_vwap_minus_share_dom,lockin_n,non_lockin_n,lockin_median_kappa_LWMP,non_lockin_median_kappa_LWMP,lockin_share_kappa_LWMP_near_1,non_lockin_share_kappa_LWMP_near_0
0.001,1051200,6.714628852932947e-13,1.0394040775102377e-13,583343,467857,0.9999999999998898,0.35767999153284563,1.0,0.2016470844723922
-0.001,1051200,6.339373470609644e-13,8.915133772639089e-14,583343,467857,1.0000000000000009,0.09253707560489852,1.0,0.35538423065167346
0.005,1051200,1.34781075189494e-13,2.0556680934682987e-14,583343,467857,0.9999999999999787,0.08083416976198692,1.0,0.1711249377480726
-0.005,1051200,1.2223555501122974e-13,1.7535764480733523e-14,583343,467857,1.0000000000000009,0.022856138191688226,1.0,0.32677506161070585
0.01,1051200,6.206146707654625e-14,8.842178400555644e-15,583343,467857,1.0000000000000009,0.04047616822448359,1.0,0.17072951778000542
-0.01,1051200,6.405986852087153e-14,8.791295475716069e-15,583343,467857,1.0000000000000009,0.011468778655701783,1.0,0.3262492599234381
