lambda,variable,state,stat,value
-0.001,delta_VWAP,lockin,p95,-12.102811982506683
-0.001,delta_VWAP,lockin,p99,-10.41321542554117
-0.001,delta_VWAP,lockin,max,-7.894702043198777
-0.001,delta_VWAP,lockin,share_zero,0.0
-0.001,delta_VWAP,non_lockin,n,467857.0
-0.001,delta_VWAP,non_lockin,mean,-18.006211701156438
-0.001,delta_VWAP,non_lockin,std,4.932514163505448
-0.001,delta_VWAP,non_lockin,min,-33.95678695189417
-0.001,delta_VWAP,non_lockin,p01,-29.6853403805953
-0.001,delta_VWAP,non_lockin,p05,-26.971404292437363
-0.001,delta_VWAP,non_lockin,p25,-21.28000621411047
-0.001,delta_VWAP,non_lockin,p50,-17.575874005880905
-0.001,delta_VWAP,non_lockin,p75,-14.485531101359811
-0.001,delta_VWAP,non_lockin,p95,-10.232975066047224
-0.001,delta_VWAP,non_lockin,p99,-8.043636020511185
-0.001,delta_VWAP,non_lockin,max,-4.877267744144774
-0.001,delta_VWAP,non_lockin,share_zero,0.0
-0.001,delta_LWMP,lockin,n,583343.0
-0.001,delta_LWMP,lockin,mean,-32.92921989549343
-0.001,delta_LWMP,lockin,std,14.328596870088708
-0.001,delta_LWMP,lockin,min,-68.68437250000716
-0.001,delta_LWMP,lockin,p01,-63.39130359999952
-0.001,delta_LWMP,lockin,p05,-58.83286825000032
-0.001,delta_LWMP,lockin,p25,-44.12129124999774
-0.001,delta_LWMP,lockin,p50,-30.42094250000082
-0.001,delta_LWMP,lockin,p75,-19.911733749999257
-0.001,delta_LWMP,lockin,p95,-16.70339249999961
-0.001,delta_LWMP,lockin,p99,-16.372857849999928
-0.001,delta_LWMP,lockin,max,-15.518812500000422
-0.001,delta_LWMP,lockin,share_zero,0.0
-0.001,delta_LWMP,non_lockin,n,467857.0
-0.001,delta_LWMP,non_lockin,mean,-10.842759880196349
-0.001,delta_LWMP,non_lockin,std,13.866069509365772
-0.001,delta_LWMP,non_lockin,min,-68.68150500000047
-0.001,delta_LWMP,non_lockin,p01,-54.026927400004354
-0.001,delta_LWMP,non_lockin,p05,-39.441565500001886
-0.001,delta_LWMP,non_lockin,p25,-19.029999999998836
-0.001,delta_LWMP,non_lockin,p50,-4.157500000001164
-0.001,delta_LWMP,non_lockin,p75,0.0
-0.001,delta_LWMP,non_lockin,p95,0.0
-0.001,delta_LWMP,non_lockin,p99,0.0
-0.001,delta_LWMP,non_lockin,max,0.0
-0.001,delta_LWMP,non_lockin,share_zero,0.3553628565993455
-0.001,kappa_VWAP,lockin,n,583343.0
