lambda,variable,state,quantile,value
-0.001,kappa_LWMP,non_lockin,0.01,0.0
-0.001,kappa_LWMP,non_lockin,0.05,0.0
-0.001,kappa_LWMP,non_lockin,0.25,-0.0
-0.001,kappa_LWMP,non_lockin,0.5,0.09253707560489852
-0.001,kappa_LWMP,non_lockin,0.75,0.4670012722452831
-0.001,kappa_LWMP,non_lockin,0.95,0.9999999999999928
-0.001,kappa_LWMP,non_lockin,0.99,1.0000000000000602
0.005,delta_VWAP,lockin,0.01,52.066077127704304
0.005,delta_VWAP,lockin,0.05,60.51405991252759
0.005,delta_VWAP,lockin,0.25,77.89269408796463
0.005,delta_VWAP,lockin,0.5,95.55779388247174
0.005,delta_VWAP,lockin,0.75,130.8183908565079
0.005,delta_VWAP,lockin,0.95,181.43486693901366
0.005,delta_VWAP,lockin,0.99,216.5374071023059
0.005,delta_VWAP,non_lockin,0.01,40.21818010255112
0.005,delta_VWAP,non_lockin,0.05,51.16487533025283
0.005,delta_VWAP,non_lockin,0.25,72.4276555067845
0.005,delta_VWAP,non_lockin,0.5,87.87937002936815
0.005,delta_VWAP,non_lockin,0.75,106.4000310705378
0.005,delta_VWAP,non_lockin,0.95,134.85702146219555
0.005,delta_VWAP,non_lockin,0.99,148.42670190291946
0.005,delta_LWMP,lockin,0.01,81.86428924999964
0.005,delta_LWMP,lockin,0.05,83.51696249999804
0.005,delta_LWMP,lockin,0.25,99.55866874999629
0.005,delta_LWMP,lockin,0.5,152.10471249999682
0.005,delta_LWMP,lockin,0.75,220.60645624999597
0.005,delta_LWMP,lockin,0.95,294.1643412499929
0.005,delta_LWMP,lockin,0.99,316.9565179999945
0.005,delta_LWMP,non_lockin,0.01,0.0
0.005,delta_LWMP,non_lockin,0.05,0.0
0.005,delta_LWMP,non_lockin,0.25,3.069999999999709
0.005,delta_LWMP,non_lockin,0.5,17.472499999996217
0.005,delta_LWMP,non_lockin,0.75,38.974999999998545
0.005,delta_LWMP,non_lockin,0.95,99.37299999999802
0.005,delta_LWMP,non_lockin,0.99,161.58580000000077
0.005,kappa_VWAP,lockin,0.01,0.5022644112173039
0.005,kappa_VWAP,lockin,0.05,0.5115677865419557
0.005,kappa_VWAP,lockin,0.25,0.5649670488243794
0.005,kappa_VWAP,lockin,0.5,0.6637270212897518
0.005,kappa_VWAP,lockin,0.75,0.8000209003892294
0.005,kappa_VWAP,lockin,0.95,0.905691616833444
0.005,kappa_VWAP,lockin,0.99,0.9463645985249183
0.005,kappa_VWAP,non_lockin,0.01,0.2727698581738296
0.005,kappa_VWAP,non_lockin,0.05,0.31000520021254246
0.005,kappa_VWAP,non_lockin,0.25,0.3717371243562428
0.005,kappa_VWAP,non_lockin,0.5,0.4168213751882764
0.005,kappa_VWAP,non_lockin,0.75,0.4572289096626534
0.005,kappa_VWAP,non_lockin,0.95,0.4910157399279834
0.005,kappa_VWAP,non_lockin,0.99,0.4981586235105652
0.005,kappa_LWMP,lockin,0.01,0.9999999999999595
0.005,kappa_LWMP,lockin,0.05,0.9999999999999628
0.005,kappa_LWMP,lockin,0.25,0.9999999999999705
0.005,kappa_LWMP,lockin,0.5,0.9999999999999787
0.005,kappa_LWMP,lockin,0.75,0.9999999999999869
0.005,kappa_LWMP,lockin,0.95,0.9999999999999946
0.005,kappa_LWMP,lockin,0.99,0.9999999999999979
0.005,kappa_LWMP,non_lockin,0.01,0.0
0.005,kappa_LWMP,non_lockin,0.05,0.0
0.005,kappa_LWMP,non_lockin,0.25,0.016207615421321608
0.005,kappa_LWMP,non_lockin,0.5,0.08083416976198692
0.005,kappa_LWMP,non_lockin,0.75,0.17417631086597288
0.005,kappa_LWMP,non_lockin,0.95,0.42776115487298605
0.005,kappa_LWMP,non_lockin,0.99,0.7380125577086114
-0.005,delta_VWAP,lockin,0.01,-216.53740710229874
-0.005,delta_VWAP,lockin,0.05,-181.4348669390143
-0.005,delta_VWAP,lockin,0.25,-130.8183908565079
-0.005,delta_VWAP,lockin,0.5,-95.55779388247174
-0.005,delta_VWAP,lockin,0.75,-77.89269408796827
-0.005,delta_VWAP,lockin,0.95,-60.5140599125305
-0.005,delta_VWAP,lockin,0.99,-52.066077127707956
-0.005,delta_VWAP,non_lockin,0.01,-148.42670190293313
-0.005,delta_VWAP,non_lockin,0.05,-134.85702146219992
-0.005,delta_VWAP,non_lockin,0.25,-106.4000310705378
-0.005,delta_VWAP,non_lockin,0.5,-87.87937002937542
-0.005,delta_VWAP,non_lockin,0.75,-72.42765550678814
-0.005,delta_VWAP,non_lockin,0.95,-51.16487533024703
-0.005,delta_VWAP,non_lockin,0.99,-40.21818010255476
-0.005,delta_LWMP,lockin,0.01,-316.95651800000184
-0.005,delta_LWMP,lockin,0.05,-294.1643412500001
-0.005,delta_LWMP,lockin,0.25,-220.6064562499996
-0.005,delta_LWMP,lockin,0.5,-152.10471250000046
-0.005,delta_LWMP,lockin,0.75,-99.55866874999992
-0.005,delta_LWMP,lockin,0.95,-83.51696250000168
-0.005,delta_LWMP,lockin,0.99,-81.86428924999964
-0.005,delta_LWMP,non_lockin,0.01,-113.19660000000003
-0.005,delta_LWMP,non_lockin,0.05,-62.79750000000058
-0.005,delta_LWMP,non_lockin,0.25,-22.35000000000582
-0.005,delta_LWMP,non_lockin,0.5,-5.1524999999965075
-0.005,delta_LWMP,non_lockin,0.75,0.0
-0.005,delta_LWMP,non_lockin,0.95,0.0
-0.005,delta_LWMP,non_lockin,0.99,0.0
-0.005,kappa_VWAP,lockin,0.01,0.5022644112172894
-0.005,kappa_VWAP,lockin,0.05,0.5115677865419214
-0.005,kappa_VWAP,lockin,0.25,0.5649670488244151
-0.005,kappa_VWAP,lockin,0.5,0.6637270212897889
-0.005,kappa_VWAP,lockin,0.75,0.8000209003892462
-0.005,kappa_VWAP,lockin,0.95,0.9056916168334787
-0.005,kappa_VWAP,lockin,0.99,0.9463645985249342
-0.005,kappa_VWAP,non_lockin,0.01,0.2727698581738412
-0.005,kappa_VWAP,non_lockin,0.05,0.3100052002125294
