shock_type,gamma,lock_in,subsample,n,k,x_median,pivot_changed_rate,pivot_changed_ci_lo,pivot_changed_ci_hi,metric,threshold
inflate_only,-0.5,0,2021,29137,6247,0.4186545941279515,0.21440093352095274,0.2097262861481241,0.21915088121549792,max_share,0.5
inflate_only,-0.5,0,2022,15357,3273,0.4142393363782106,0.2131275639773393,0.20672270632625836,0.21967590974956916,max_share,0.5
inflate_only,-0.5,1,2021,20799,1212,0.5802088997767038,0.05827203230924564,0.055169186753739864,0.06153802309205351,max_share,0.5
inflate_only,-0.5,1,2022,34707,863,0.7561191648228619,0.024865300947935574,0.023278896164173026,0.02655687618425658,max_share,0.5
inflate_only,0.5,0,2021,29137,5320,0.4186545941279515,0.18258571575659813,0.17819168956222375,0.18706343059189007,max_share,0.5
inflate_only,0.5,0,2022,15357,2680,0.4142393363782106,0.17451325128605846,0.16859179873709573,0.18059750609891012,max_share,0.5
inflate_only,0.5,1,2021,20799,799,0.5802088997767038,0.03841530842828982,0.03588735280455779,0.04111374304573219,max_share,0.5
inflate_only,0.5,1,2022,34707,503,0.7561191648228619,0.014492753623188406,0.013288068220510455,0.01580490542839122,max_share,0.5
inflate_only,1.0,0,2021,29137,7913,0.4186545941279515,0.27157909187630846,0.2665023679318145,0.27671604069506606,max_share,0.5
inflate_only,1.0,0,2022,15357,4031,0.4142393363782106,0.2624861626619783,0.2555872700547845,0.2695038551606465,max_share,0.5
inflate_only,1.0,1,2021,20799,1628,0.5802088997767038,0.07827299389393721,0.07469996657668806,0.08200177940016926,max_share,0.5
inflate_only,1.0,1,2022,34707,1026,0.7561191648228619,0.029561759875529434,0.02783120886106395,0.0313964417874297,max_share,0.5
inflate_only,2.0,0,2021,29137,10898,0.4186545941279515,0.37402615231492603,0.36848709434295884,0.3795984242303963,max_share,0.5
inflate_only,2.0,0,2022,15357,5677,0.4142393363782106,0.3696685550563261,0.36206730596235004,0.3773349934533279,max_share,0.5
inflate_only,2.0,1,2021,20799,3173,0.5802088997767038,0.15255541131785183,0.14773303079844427,0.15750611499210007,max_share,0.5
inflate_only,2.0,1,2022,34707,2100,0.7561191648228619,0.060506526061025155,0.05804644125595668,0.06306389217946197,max_share,0.5
reallocate_total_fixed,-0.5,0,2021,29137,6913,0.4186545941279515,0.23725846861379002,0.23240865733528931,0.24217755365458127,max_share,0.5
reallocate_total_fixed,-0.5,0,2022,15357,3638,0.4142393363782106,0.23689522693234355,0.2302368427454527,0.2436852111086799,max_share,0.5
reallocate_total_fixed,-0.5,1,2021,20799,2010,0.5802088997767038,0.09663926150295687,0.0926979046358022,0.1007295932690994,max_share,0.5
reallocate_total_fixed,-0.5,1,2022,34707,3395,0.7561191648228619,0.09781888379865733,0.0947378498991245,0.10098893996931822,max_share,0.5
reallocate_total_fixed,0.5,0,2021,29137,6476,0.4186545941279515,0.22226035624806947,0.21752315160593386,0.22707078901656344,max_share,0.5
reallocate_total_fixed,0.5,0,2022,15357,3337,0.4142393363782106,0.2172950446050661,0.21084348747789985,0.22388800535905515,max_share,0.5
reallocate_total_fixed,0.5,1,2021,20799,1125,0.5802088997767038,0.0540891389009087,0.05109658630829452,0.05724638160624269,max_share,0.5
reallocate_total_fixed,0.5,1,2022,34707,697,0.7561191648228619,0.020082404125968824,0.018658767876585155,0.02161226951595101,max_share,0.5
reallocate_total_fixed,1.0,0,2021,29137,9191,0.4186545941279515,0.31544084840580705,0.31012969243806865,0.32080066476891056,max_share,0.5
reallocate_total_fixed,1.0,0,2022,15357,4787,0.4142393363782106,0.31171452757700074,0.30443640120894455,0.3190868307473047,max_share,0.5
reallocate_total_fixed,1.0,1,2021,20799,2322,0.5802088997767038,0.11163998269147556,0.1074315390930048,0.11599186091019477,max_share,0.5
reallocate_total_fixed,1.0,1,2022,34707,1555,0.7561191648228619,0.044803641916616246,0.04267709875647248,0.04703094220327193,max_share,0.5
reallocate_total_fixed,2.0,0,2021,29137,12534,0.4186545941279515,0.4301746919724062,0.42449931030394683,0.43586848360355646,max_share,0.5
reallocate_total_fixed,2.0,0,2022,15357,6494,0.4142393363782106,0.42286904994465063,0.41507583980425855,0.4307008395151871,max_share,0.5
reallocate_total_fixed,2.0,1,2021,20799,4385,0.5802088997767038,0.21082744362709746,0.20533759445712615,0.2164240940998833,max_share,0.5
reallocate_total_fixed,2.0,1,2022,34707,3259,0.7561191648228619,0.09390036592041952,0.0908763474218552,0.09701427404898809,max_share,0.5
