check_id,check_name,status,severity,scenario,value,threshold,message
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_Bitfinex,81892.0,original run diagnostics status,shock_type=reallocate_total_fixed; delta_w=2.0; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: vwap_kappa_equals_max_share,PASS,INFO,EXCL_Bitfinex,4.564126854234019e-13,original run diagnostics status,lambda=-0.001; mean_abs=7.208678780106753e-14
DIAG_002,VWAP kappa equals max_share max absolute error,PASS,INFO,EXCL_Bitfinex,4.564126854234019e-13,<= 1e-8 PASS; <= 1e-6 WARNING,lambda=-0.001; mean_abs=7.208678780106753e-14
ORIG_DIAG_001,Original diagnostics: vwap_kappa_equals_max_share,PASS,INFO,EXCL_Bitfinex,5.63882274207117e-13,original run diagnostics status,lambda=0.001; mean_abs=9.054498351623255e-14
DIAG_002,VWAP kappa equals max_share max absolute error,PASS,INFO,EXCL_Bitfinex,5.63882274207117e-13,<= 1e-8 PASS; <= 1e-6 WARNING,lambda=0.001; mean_abs=9.054498351623255e-14
ORIG_DIAG_001,Original diagnostics: vwap_kappa_equals_max_share,PASS,INFO,EXCL_Bitfinex,5.861977570020827e-14,original run diagnostics status,lambda=-0.01; mean_abs=7.272209613415234e-15
DIAG_002,VWAP kappa equals max_share max absolute error,PASS,INFO,EXCL_Bitfinex,5.861977570020827e-14,<= 1e-8 PASS; <= 1e-6 WARNING,lambda=-0.01; mean_abs=7.272209613415234e-15
ORIG_DIAG_001,Original diagnostics: vwap_kappa_equals_max_share,PASS,INFO,EXCL_Bitfinex,4.862776847858186e-14,original run diagnostics status,lambda=0.01; mean_abs=7.311612365362665e-15
DIAG_002,VWAP kappa equals max_share max absolute error,PASS,INFO,EXCL_Bitfinex,4.862776847858186e-14,<= 1e-8 PASS; <= 1e-6 WARNING,lambda=0.01; mean_abs=7.311612365362665e-15
ORIG_DIAG_001,Original diagnostics: weight_sums_close_to_one,PASS,INFO,EXCL_BitMEX,6.661338147750939e-16,original run diagnostics status,max abs(sum(normalized weights)-1) among valid minutes
DIAG_004,Weight sums close to one,PASS,INFO,EXCL_BitMEX,6.661338147750939e-16,<= 1e-10 PASS; <= 1e-8 WARNING,max abs(sum(normalized weights)-1) among valid minutes
ORIG_DIAG_001,Original diagnostics: valid_minutes,PASS,INFO,EXCL_BitMEX,1051200.0,original run diagnostics status,before_min_venues=1051200; min_venues filtered=0
ORIG_DIAG_001,Original diagnostics: n_exchanges_used,PASS,INFO,EXCL_BitMEX,6.0,original run diagnostics status,"Binance,Bitfinex,Bitstamp,Coinbase,KuCoin,OKX"
ORIG_DIAG_001,Original diagnostics: lockin_pivot_equals_dominant_ratio,PASS,INFO,EXCL_BitMEX,1.0,original run diagnostics status,Expected to be near 1 when max_share > 0.5; exact ties can lower it.
DIAG_001,lock_in pivot equals dominant_exchange ratio,PASS,INFO,EXCL_BitMEX,1.0,>= 0.999 PASS; >= 0.99 WARNING,Expected to be near 1 when max_share > 0.5; exact ties can lower it.
ORIG_DIAG_001,Original diagnostics: negative_weights_after_cleaning,PASS,INFO,EXCL_BitMEX,0.0,original run diagnostics status,Scenario arrays set invalid/nonpositive weights to zero before normalization.
DIAG_003,No negative weights after cleaning,PASS,INFO,EXCL_BitMEX,0,0,Scenario arrays set invalid/nonpositive weights to zero before normalization.
ORIG_DIAG_001,Original diagnostics: sampled_candidate_events,PASS,INFO,EXCL_BitMEX,100000.0,original run diagnostics status,total_candidates=6280292
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_BitMEX,100000.0,original run diagnostics status,shock_type=inflate_only; delta_w=-0.5; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_BitMEX,100000.0,original run diagnostics status,shock_type=inflate_only; delta_w=0.5; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_BitMEX,100000.0,original run diagnostics status,shock_type=inflate_only; delta_w=1.0; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_BitMEX,100000.0,original run diagnostics status,shock_type=inflate_only; delta_w=2.0; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_BitMEX,100000.0,original run diagnostics status,shock_type=reallocate_total_fixed; delta_w=-0.5; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_BitMEX,93052.0,original run diagnostics status,shock_type=reallocate_total_fixed; delta_w=0.5; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_BitMEX,86989.0,original run diagnostics status,shock_type=reallocate_total_fixed; delta_w=1.0; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_BitMEX,81967.0,original run diagnostics status,shock_type=reallocate_total_fixed; delta_w=2.0; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: vwap_kappa_equals_max_share,PASS,INFO,EXCL_BitMEX,4.929390229335695e-13,original run diagnostics status,lambda=-0.001; mean_abs=7.194808696900313e-14
DIAG_002,VWAP kappa equals max_share max absolute error,PASS,INFO,EXCL_BitMEX,4.929390229335695e-13,<= 1e-8 PASS; <= 1e-6 WARNING,lambda=-0.001; mean_abs=7.194808696900313e-14
ORIG_DIAG_001,Original diagnostics: vwap_kappa_equals_max_share,PASS,INFO,EXCL_BitMEX,5.583311590839912e-13,original run diagnostics status,lambda=0.001; mean_abs=9.432041733877289e-14
DIAG_002,VWAP kappa equals max_share max absolute error,PASS,INFO,EXCL_BitMEX,5.583311590839912e-13,<= 1e-8 PASS; <= 1e-6 WARNING,lambda=0.001; mean_abs=9.432041733877289e-14
ORIG_DIAG_001,Original diagnostics: vwap_kappa_equals_max_share,PASS,INFO,EXCL_BitMEX,5.162537064506978e-14,original run diagnostics status,lambda=-0.01; mean_abs=7.296846673733692e-15
DIAG_002,VWAP kappa equals max_share max absolute error,PASS,INFO,EXCL_BitMEX,5.162537064506978e-14,<= 1e-8 PASS; <= 1e-6 WARNING,lambda=-0.01; mean_abs=7.296846673733692e-15
ORIG_DIAG_001,Original diagnostics: vwap_kappa_equals_max_share,PASS,INFO,EXCL_BitMEX,5.162537064506978e-14,original run diagnostics status,lambda=0.01; mean_abs=7.317851825097948e-15
DIAG_002,VWAP kappa equals max_share max absolute error,PASS,INFO,EXCL_BitMEX,5.162537064506978e-14,<= 1e-8 PASS; <= 1e-6 WARNING,lambda=0.01; mean_abs=7.317851825097948e-15
ORIG_DIAG_001,Original diagnostics: weight_sums_close_to_one,PASS,INFO,EXCL_Bitstamp,5.551115123125783e-16,original run diagnostics status,max abs(sum(normalized weights)-1) among valid minutes
DIAG_004,Weight sums close to one,PASS,INFO,EXCL_Bitstamp,5.551115123125783e-16,<= 1e-10 PASS; <= 1e-8 WARNING,max abs(sum(normalized weights)-1) among valid minutes
ORIG_DIAG_001,Original diagnostics: valid_minutes,PASS,INFO,EXCL_Bitstamp,1051200.0,original run diagnostics status,before_min_venues=1051200; min_venues filtered=0
ORIG_DIAG_001,Original diagnostics: n_exchanges_used,PASS,INFO,EXCL_Bitstamp,6.0,original run diagnostics status,"Binance,Bitfinex,BitMEX,Coinbase,KuCoin,OKX"
ORIG_DIAG_001,Original diagnostics: lockin_pivot_equals_dominant_ratio,PASS,INFO,EXCL_Bitstamp,1.0,original run diagnostics status,Expected to be near 1 when max_share > 0.5; exact ties can lower it.
DIAG_001,lock_in pivot equals dominant_exchange ratio,PASS,INFO,EXCL_Bitstamp,1.0,>= 0.999 PASS; >= 0.99 WARNING,Expected to be near 1 when max_share > 0.5; exact ties can lower it.
ORIG_DIAG_001,Original diagnostics: negative_weights_after_cleaning,PASS,INFO,EXCL_Bitstamp,0.0,original run diagnostics status,Scenario arrays set invalid/nonpositive weights to zero before normalization.
DIAG_003,No negative weights after cleaning,PASS,INFO,EXCL_Bitstamp,0,0,Scenario arrays set invalid/nonpositive weights to zero before normalization.
ORIG_DIAG_001,Original diagnostics: sampled_candidate_events,PASS,INFO,EXCL_Bitstamp,100000.0,original run diagnostics status,total_candidates=6280713
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_Bitstamp,100000.0,original run diagnostics status,shock_type=inflate_only; delta_w=-0.5; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_Bitstamp,100000.0,original run diagnostics status,shock_type=inflate_only; delta_w=0.5; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_Bitstamp,100000.0,original run diagnostics status,shock_type=inflate_only; delta_w=1.0; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_Bitstamp,100000.0,original run diagnostics status,shock_type=inflate_only; delta_w=2.0; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_Bitstamp,100000.0,original run diagnostics status,shock_type=reallocate_total_fixed; delta_w=-0.5; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_Bitstamp,95320.0,original run diagnostics status,shock_type=reallocate_total_fixed; delta_w=0.5; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_Bitstamp,90193.0,original run diagnostics status,shock_type=reallocate_total_fixed; delta_w=1.0; sampled_events=100000
