scenario,excluded_exchange,n_exchanges_used,valid_minutes,share_valid_minutes_relative_to_full_calendar,lockin_minutes,lockin_share,median_max_share,p90_max_share,p95_max_share,median_HHI,p95_HHI,top_dominant_exchange,top_dominant_exchange_share,n_dominant_exchanges_observed
FULL,,7,1051200,1.0,583343,0.5549305555555556,0.5235665366929418,0.8342022878574714,0.880189881219294,0.3584078065174097,0.7807010240076989,Binance,0.8013327625570776,7
EXCL_Binance,Binance,6,1051199,0.9999990487062405,473543,0.45047892929882927,0.4794697059159872,0.7248900025586055,0.7924658214587827,0.3364643390456414,0.6451568520804578,BitMEX,0.43459991875943565,6
EXCL_Bitfinex,Bitfinex,6,1051200,1.0,631828,0.6010540334855403,0.542649680504375,0.8407407194367301,0.8846727772347132,0.3790041607308827,0.7883254601339219,Binance,0.8063641552511416,6
EXCL_BitMEX,BitMEX,6,1051200,1.0,818764,0.7788850837138508,0.6241588628941184,0.8735194400126525,0.9086753757029935,0.44416636779566965,0.8296906853750752,Binance,0.9210492770167428,6
EXCL_Bitstamp,Bitstamp,6,1051200,1.0,612034,0.5822241248097413,0.5348455474541878,0.8386364877852696,0.8840121713991838,0.37162316411477037,0.787332214868328,Binance,0.8023611111111111,6
EXCL_Coinbase,Coinbase,6,1051199,0.9999990487062405,769218,0.7317529792170655,0.6029080305108115,0.9074813412665381,0.942667896425015,0.4371002721601023,0.8901172346067707,Binance,0.8234026097817825,6
EXCL_KuCoin,KuCoin,6,1051199,0.9999990487062405,674978,0.642102970037072,0.562517360771817,0.8633839696722536,0.9051563163479486,0.4018853023829109,0.8240939684583052,Binance,0.8066569698030535,6
EXCL_OKX,OKX,6,1051200,1.0,692994,0.6592408675799086,0.5686167266970887,0.8512051719187285,0.8927901530219016,0.40535458554282455,0.8024127070297169,Binance,0.8239269406392694,6
