scenario,excluded_exchange,valid_minutes,lockin_share,median_max_share,lwmp_pivot_change_nonlockin_baseline,lwmp_pivot_change_lockin_baseline,lwmp_pivot_change_ratio_lockin_to_nonlockin,vwap_kappa_median_nonlockin_lambda_0p001,vwap_kappa_median_lockin_lambda_0p001,lwmp_kappa_median_nonlockin_lambda_0p001,lwmp_kappa_median_lockin_lambda_0p001,verdict
FULL,,1051200,0.5549305555555556,0.5235665366929418,0.31388093176115295,0.07909017679230085,0.25197509242926663,0.4168213751882261,0.6637270212896035,0.08337293167451389,0.9999999999998898,Main contrast preserved
EXCL_Binance,Binance,1051199,0.45047892929882927,0.4794697059159872,0.35894042136563076,0.15447067334744513,0.43035184713870733,0.39717041985432594,0.6186084260483536,0.17985765730241846,0.9999999999998899,Main contrast preserved
EXCL_Bitfinex,Bitfinex,1051200,0.6010540334855403,0.542649680504375,0.3465289586876063,0.10428832299881605,0.3009512491936679,0.42485204529235115,0.6607907025435293,0.0707879502610039,0.9999999999998899,Main contrast preserved
EXCL_BitMEX,BitMEX,1051200,0.7788850837138508,0.6241588628941184,0.3016389001760802,0.07191548426896976,0.23841581515842108,0.44162312438704043,0.6788789745265368,0.09059128217647527,0.9999999999998898,Main contrast preserved
EXCL_Bitstamp,Bitstamp,1051200,0.5822241248097413,0.5348455474541878,0.3540609738751126,0.09624877632209286,0.27184237581643933,0.4220875066783394,0.661427437551583,0.08208209662372676,0.9999999999998899,Main contrast preserved
EXCL_Coinbase,Coinbase,1051199,0.7317529792170655,0.6029080305108115,0.3220746550257112,0.09051468162322666,0.28103633803784056,0.4430529025076043,0.6779689209165509,0.07904091666441564,0.9999999999998898,Main contrast preserved
EXCL_KuCoin,KuCoin,1051199,0.642102970037072,0.562517360771817,0.3431372549019608,0.10951170268451357,0.31914839068058243,0.42959504855086067,0.669363773263296,0.08488221948345032,0.9999999999998898,Main contrast preserved
EXCL_OKX,OKX,1051200,0.6592408675799086,0.5686167266970887,0.349840768983551,0.10812887644766453,0.30908026174830583,0.4328746166161566,0.6651114214835994,0.07501848394879161,0.9999999999998898,Main contrast preserved
