scenario,excluded_exchange,lambda,lock_in,n,vwap_kappa_mean,vwap_kappa_median,vwap_kappa_q05,vwap_kappa_q95,lwmp_kappa_mean,lwmp_kappa_median,lwmp_kappa_q05,lwmp_kappa_q95,lwmp_zero_share,median_max_share,mean_max_share
FULL,,-0.001,0,467857,0.4110928256453122,0.4168213751883517,0.3100052002125183,0.49101573992805675,0.4773030260804247,0.4461703904841027,-0.0,1.0000000000000333,0.23025411610812704,0.4168213751883056,0.41109282564531163
FULL,,-0.001,1,583343,0.6849466088483323,0.6637270212897889,0.5115677865419954,0.905691616833418,1.0000000000000009,1.0000000000000009,0.9999999999999216,1.0000000000000802,0.0,0.6637270212897699,0.6849466088483316
FULL,,0.001,0,467857,0.41109282564526617,0.4168213751882261,0.3100052002125183,0.49101573992789266,0.22991121977735546,0.08337293167451389,0.0,0.9999999999998456,0.3342944532196804,0.4168213751883056,0.41109282564531163
FULL,,0.001,1,583343,0.6849466088482563,0.6637270212896035,0.5115677865419788,0.9056916168333964,0.9999999999998899,0.9999999999998898,0.9999999999998105,0.9999999999999691,0.0,0.6637270212897699,0.6849466088483316
FULL,,-0.01,0,467857,0.411092825645312,0.4168213751883141,0.3100052002125413,0.4910157399279834,0.0758798401027387,0.04929622632883697,-0.0,0.2416273414240837,0.2099936519064586,0.4168213751883056,0.41109282564531163
FULL,,-0.01,1,583343,0.6849466088483324,0.6637270212897703,0.5115677865419405,0.9056916168334764,1.0000000000000009,1.0000000000000009,0.999999999999993,1.0000000000000087,0.0,0.6637270212897699,0.6849466088483316
FULL,,0.01,0,467857,0.411092825645312,0.41682137518830153,0.3100052002125413,0.4910157399279701,0.036086890399703205,0.011089187063885148,0.0,0.16196291592173878,0.28146420808067424,0.4168213751883056,0.41109282564531163
FULL,,0.01,1,583343,0.6849466088483324,0.6637270212897703,0.5115677865419405,0.9056916168334764,1.0000000000000009,1.0000000000000009,0.9999999999999929,1.0000000000000089,0.0,0.6637270212897699,0.6849466088483316
EXCL_Binance,Binance,-0.001,0,577656,0.3932415557718337,0.3971704198544214,0.28265441522390156,0.4884153011233124,0.33973623959421057,0.18095933954815113,-0.0,1.0000000000000102,0.389636738820336,0.3971704198544257,0.39324155577183345
EXCL_Binance,Binance,-0.001,1,473543,0.6415302853775916,0.6186084260484969,0.5097594010717179,0.85000905249463,1.0000000000000009,1.0000000000000009,0.9999999999999226,1.0000000000000793,0.0,0.618608426048424,0.6415302853775909
EXCL_Binance,Binance,0.001,0,577656,0.3932415557717903,0.39717041985432594,0.2826544152239896,0.48841530112314685,0.3010705588325077,0.17985765730241846,0.0,0.9999999999998684,0.32185418311244063,0.3971704198544257,0.39324155577183345
EXCL_Binance,Binance,0.001,1,473543,0.6415302853775201,0.6186084260483536,0.5097594010716369,0.85000905249463,0.9999999999998899,0.9999999999998899,0.9999999999998113,0.9999999999999681,0.0,0.618608426048424,0.6415302853775909
EXCL_Binance,Binance,-0.01,0,577656,0.39324155577183384,0.3971704198544346,0.2826544152239734,0.48841530112321807,0.05047405280371379,0.024355578019325305,-0.0,0.18029188601772836,0.3565720774994114,0.3971704198544257,0.39324155577183345
EXCL_Binance,Binance,-0.01,1,473543,0.6415302853775915,0.6186084260484253,0.5097594010716914,0.8500090524946708,1.0000000000000007,1.0000000000000009,0.9999999999999931,1.0000000000000087,0.0,0.618608426048424,0.6415302853775909
EXCL_Binance,Binance,0.01,0,577656,0.39324155577183384,0.3971704198544167,0.2826544152239734,0.48841530112321446,0.050677870124122545,0.030956241276827466,0.0,0.18234291171728392,0.2272061572977689,0.3971704198544257,0.39324155577183345
EXCL_Binance,Binance,0.01,1,473543,0.6415302853775915,0.6186084260484253,0.5097594010716935,0.8500090524946708,1.0000000000000007,1.0000000000000009,0.999999999999993,1.0000000000000087,0.0,0.618608426048424,0.6415302853775909
EXCL_Bitfinex,Bitfinex,-0.001,0,419372,0.41844490835486925,0.4248520452923745,0.3212350166992347,0.49209094536572984,0.47281376192010466,0.43641426574078596,-0.0,1.0000000000000315,0.23553313049035224,0.42485204529238907,0.41844490835486886
EXCL_Bitfinex,Bitfinex,-0.001,1,631828,0.6841728073517259,0.6607907025437914,0.511969468781533,0.906232065367158,1.0000000000000007,1.0000000000000009,0.9999999999999218,1.00000000000008,0.0,0.6607907025436961,0.6841728073517254
EXCL_Bitfinex,Bitfinex,0.001,0,419372,0.4184449083548226,0.42485204529235115,0.3212350166992347,0.49209094536572984,0.20461412607722926,0.0707879502610039,0.0,0.9961091927174319,0.3468662667035472,0.42485204529238907,0.41844490835486886
EXCL_Bitfinex,Bitfinex,0.001,1,631828,0.68417280735165,0.6607907025435293,0.5119694687812401,0.906232065366885,0.9999999999998899,0.9999999999998899,0.9999999999998108,0.9999999999999688,0.0,0.6607907025436961,0.6841728073517254
EXCL_Bitfinex,Bitfinex,-0.01,0,419372,0.41844490835486925,0.4248520452923953,0.3212350166992616,0.49209094536574144,0.0747302222574844,0.04814549515744896,-0.0,0.23925694029899106,0.2148188243373425,0.42485204529238907,0.41844490835486886
EXCL_Bitfinex,Bitfinex,-0.01,1,631828,0.6841728073517259,0.6607907025436959,0.5119694687814018,0.9062320653669953,1.0000000000000007,1.0000000000000009,0.9999999999999931,1.0000000000000087,0.0,0.6607907025436961,0.6841728073517254
EXCL_Bitfinex,Bitfinex,0.01,0,419372,0.41844490835486925,0.42485204529239295,0.3212350166992616,0.4920909453657405,0.03174129633146475,0.009588644763373708,0.0,0.14419740660285907,0.2918888242419618,0.42485204529238907,0.41844490835486886
EXCL_Bitfinex,Bitfinex,0.01,1,631828,0.6841728073517259,0.6607907025436954,0.5119694687813725,0.9062320653669822,1.0000000000000007,1.0000000000000009,0.999999999999993,1.0000000000000089,0.0,0.6607907025436961,0.6841728073517254
EXCL_BitMEX,BitMEX,-0.001,0,232436,0.4329362255071762,0.4416231243870181,0.3408033908882875,0.494681378737854,0.37918765307305186,0.2948537731427131,-0.0,0.9999999999999978,0.17936550276205063,0.4416231243869999,0.43293622550717564
EXCL_BitMEX,BitMEX,-0.001,1,818764,0.6985205461412511,0.6788789745264792,0.5182302843024962,0.9175868020789968,1.0000000000000009,1.0000000000000009,0.999999999999923,1.0000000000000788,0.0,0.6788789745265644,0.6985205461412505
EXCL_BitMEX,BitMEX,0.001,0,232436,0.4329362255071279,0.44162312438704043,0.3408033908882875,0.4946813787378983,0.20677451519314893,0.09059128217647527,0.0,0.991400310753114,0.2596542704228261,0.4416231243869999,0.43293622550717564
EXCL_BitMEX,BitMEX,0.001,1,818764,0.6985205461411733,0.6788789745265368,0.5182302843024962,0.9175868020788378,0.9999999999998896,0.9999999999998898,0.9999999999998118,0.9999999999999678,0.0,0.6788789745265644,0.6985205461412505
EXCL_BitMEX,BitMEX,-0.01,0,232436,0.4329362255071761,0.4416231243869915,0.3408033908882525,0.49468137873796525,0.05111023418986334,0.029976219483636036,-0.0,0.1891219108006876,0.1739833760691115,0.4416231243869999,0.43293622550717564
EXCL_BitMEX,BitMEX,-0.01,1,818764,0.698520546141251,0.678878974526552,0.5182302843025722,0.9175868020789841,1.0000000000000009,1.0000000000000009,0.9999999999999931,1.0000000000000087,0.0,0.6788789745265644,0.6985205461412505
EXCL_BitMEX,BitMEX,0.01,0,232436,0.43293622550717603,0.44162312438700146,0.34080339088826533,0.49468137873797985,0.028348155728308174,0.009546276571646979,0.0,0.12673464974583773,0.2427076700683199,0.4416231243869999,0.43293622550717564
EXCL_BitMEX,BitMEX,0.01,1,818764,0.698520546141251,0.6788789745265686,0.5182302843025925,0.9175868020789875,1.0000000000000009,1.0000000000000009,0.999999999999993,1.0000000000000087,0.0,0.6788789745265644,0.6985205461412505
EXCL_Bitstamp,Bitstamp,-0.001,0,439166,0.4158509539028825,0.4220875066783394,0.31707489008358597,0.4917897466943154,0.4827174349178896,0.45765979693460257,0.0,1.0000000000000346,0.2303229302814881,0.4220875066783711,0.415850953902882
EXCL_Bitstamp,Bitstamp,-0.001,1,612034,0.6844866146650419,0.661427437551583,0.5118736506367202,0.9073808801833451,1.0000000000000007,1.0000000000000009,0.9999999999999217,1.0000000000000802,0.0,0.6614274375516535,0.6844866146650413
EXCL_Bitstamp,Bitstamp,0.001,0,439166,0.415850953902836,0.4220875066783394,0.3170748900836837,0.4917897466943154,0.22707382959351918,0.08208209662372676,0.0,0.9999999999998455,0.3312437665939531,0.4220875066783711,0.415850953902882
EXCL_Bitstamp,Bitstamp,0.001,1,612034,0.6844866146649661,0.661427437551583,0.5118736506365593,0.9073808801830489,0.9999999999998896,0.9999999999998899,0.9999999999998107,0.9999999999999689,0.0,0.6614274375516535,0.6844866146650413
