statistic,bootstrap_mean,bootstrap_se,ci95_low,ci95_high
rate_nonlock,0.2793502333492221,0.0023999005134254883,0.27470944476584763,0.28413274217420836
rate_lock,0.0678402714552872,0.004496797701221686,0.05946691350219415,0.07685085397384854
difference_lock_minus_nonlock,-0.2115099618939349,0.005012664664619688,-0.22096856327700637,-0.2014120103981761
ratio_lock_over_nonlock,0.24286263291573643,0.016148218810858764,0.21273081475102326,0.27531042986029247
