year,calendar_minutes,minutes_at_least_3_valid,share_at_least_3_valid,minutes_at_least_5_valid,share_at_least_5_valid,minutes_all_7_valid,share_all_7_valid,Binance_valid_minutes,Binance_coverage_share,Bitfinex_valid_minutes,Bitfinex_coverage_share,BitMEX_valid_minutes,BitMEX_coverage_share,Bitstamp_valid_minutes,Bitstamp_coverage_share,Coinbase_valid_minutes,Coinbase_coverage_share,KuCoin_valid_minutes,KuCoin_coverage_share,OKX_valid_minutes,OKX_coverage_share
2021,525600,525600,1.0,525562,0.999927701674277,477048,0.9076255707762557,524526,0.9979566210045662,519590,0.9885654490106545,522320,0.9937595129375951,486831,0.9262385844748858,525516,0.9998401826484018,524703,0.9982933789954338,525159,0.9991609589041096
2022,525600,525600,1.0,525404,0.9996270928462709,461559,0.878156392694064,525600,1.0,522722,0.9945243531202436,505744,0.9622222222222222,481230,0.9155821917808219,525554,0.9999124809741248,525315,0.9994577625570776,524171,0.997281202435312
