bin,n,max_share_mid,lambda_median,q90_absShift_over_lambda,q90_absShift,q95_absShift_over_lambda,q95_absShift,q99_absShift_over_lambda,q99_absShift
0,160000,0.36603162937862277,0.0784485762434432,0.0012011408558154247,0.00019070196664476002,0.0016095633241482315,0.0003107886784182199,0.0029124751746843398,0.0007411890715479524
1,160000,0.4448302818636694,0.06087960975498017,0.0012116994434217666,0.00018617314940644003,0.0016136930292624445,0.0003063487585693541,0.0027486085024548876,0.0007064591516325813
2,160000,0.5237577214460568,0.05432828193071539,0.0012708909693701115,0.0001731008716105,0.0016681899067290742,0.00028991799448802497,0.0028066398632366966,0.000658594326235658
3,160000,0.6427448284272612,0.04087330540336652,0.0012979271449426923,0.0001518858501099301,0.0016963508799867884,0.00025110062638801994,0.0026220899342846737,0.0005192466790877902
4,160000,0.8336972845248456,0.016524573715613,0.001293037405877853,8.385185378871095e-05,0.0016549332455476984,0.00014239031079427492,0.0024584129308813435,0.0003253233065045
