active_venue_set,missing_venue_set,valid_venue_count,valid_minutes,number_of_UTC_days,share_max_share_gt_0p5,median_max_share,p95_max_share,median_HHI,p95_HHI,dominant_exchange_distribution,median_spell,p95_spell,maximum_spell,descriptive_threshold_met,dvonly_threshold_met,bootstrap_day_threshold_met
Binance|Bitfinex|BitMEX|Bitstamp|Coinbase|KuCoin|OKX,,7,1008835,730,0.5450465140483826,0.5187303697822121,0.8709818530543195,0.3545871075190714,0.7652009209555946,"{""Binance"":0.7987659032448319,""BitMEX"":0.1326183171678223,""Bitfinex"":0.006363776038698103,""Bitstamp"":0.0013758444145970353,""Coinbase"":0.026341274836816725,""KuCoin"":0.006449022882830195,""OKX"":0.028085861414403744}",1.0,8.0,787,True,True,True
Binance|Bitfinex|BitMEX|Coinbase|KuCoin|OKX,Bitstamp,6,16445,643,0.7070842201276983,0.6420507984209726,0.9247143860406972,0.4694319687879179,0.8573798778328707,"{""Binance"":0.8248099726360596,""BitMEX"":0.10757069017938584,""Bitfinex"":0.0044390392216479176,""Coinbase"":0.02091821222256005,""KuCoin"":0.015567041653998175,""OKX"":0.026695044086348433}",1.0,2.0,55,True,False,True
Binance|Bitfinex|Bitstamp|Coinbase|KuCoin|OKX,BitMEX,6,15798,489,0.9401190024053677,0.8645028729449171,0.9569530611350614,0.7572198624904605,0.9167235707035672,"{""Binance"":0.9698696037473098,""Bitfinex"":0.0016457779465755158,""Bitstamp"":0.00044309406253956196,""Coinbase"":0.014685403215596912,""KuCoin"":0.0037979491074819596,""OKX"":0.009558171920496265}",1.0,3.0,281,True,False,True
