lambda,shock_label,state,event_count,VWAP_mean_kappa,VWAP_median_kappa,LWMP_mean_kappa,LWMP_median_kappa,LWMP_zero_share,LWMP_one_share
0.001,+0.1%,non_lockin,228210,0.43299022426546496,0.44166487520803366,0.20790985468689546,0.09119215234511849,0.25904211033697033,0.04890232680425923
0.001,+0.1%,lockin,796423,0.6967030945207704,0.6767754385642066,0.9999999999998898,0.9999999999998899,0.0,1.0
-0.001,-0.1%,non_lockin,228210,0.43299022426551315,0.4416648752081127,0.380077643226214,0.29549677431123106,0.17881337364707944,0.09717365584330222
-0.001,-0.1%,lockin,796423,0.6967030945208479,0.6767754385646374,1.0000000000000009,1.0000000000000009,0.0,1.0
0.01,+1.0%,non_lockin,228210,0.43299022426551315,0.44166487520809683,0.028540882043410914,0.009607401717073132,0.242097191183559,0.0004338109635861706
0.01,+1.0%,lockin,796423,0.6967030945208479,0.6767754385643574,1.0000000000000009,1.0000000000000009,0.0,1.0
-0.01,-1.0%,non_lockin,228210,0.4329902242655133,0.44166487520811226,0.051294565255378274,0.030036714596909708,0.17352876736339337,0.0006266158362911354
-0.01,-1.0%,lockin,796423,0.6967030945208479,0.6767754385643574,1.0000000000000009,1.0000000000000009,0.0,1.0
