shock_type,gamma,bin_id,x_left,x_right,max_share_mid,n,k,pivot_rate,ci_lo,ci_hi
pooled_headline,pooled,0,0.1858863065273828,0.3222084652543739,0.2540473858908784,27632,8963,0.3243702953097858,0.3188752201461166,0.32991419830242463
pooled_headline,pooled,1,0.3222084652543739,0.347776059239043,0.3349922622467084,26752,7794,0.2913427033492823,0.2859279675135125,0.296817357156073
pooled_headline,pooled,2,0.347776059239043,0.3661953153403271,0.35698568728968505,27600,8150,0.29528985507246375,0.28993680009551703,0.3006998886760921
pooled_headline,pooled,3,0.3661953153403271,0.3816573906802286,0.3739263530102779,26984,7861,0.2913207826860362,0.28592936629518173,0.2967716082058691
pooled_headline,pooled,4,0.3816573906802286,0.3954889427061316,0.3885731666931801,27264,7674,0.2814700704225352,0.27616288374861314,0.286838831796045
pooled_headline,pooled,5,0.3954889427061316,0.4084709008909692,0.4019799217985504,27600,7763,0.281268115942029,0.2759943288433137,0.2866027844512358
pooled_headline,pooled,6,0.4084709008909692,0.4208093020292618,0.41464010146011554,26912,7724,0.28700951248513673,0.28163549332412297,0.2924443303585963
pooled_headline,pooled,7,0.4208093020292618,0.4329803145640383,0.42689480829665005,27272,7536,0.2763273687298328,0.27105176651174,0.28166597621044975
pooled_headline,pooled,8,0.4329803145640383,0.444920756303171,0.4389505354336046,26888,7458,0.27737280571258555,0.27205351508802555,0.28275570258935356
pooled_headline,pooled,9,0.444920756303171,0.4570741153301756,0.4509974358166733,27496,7231,0.2629837067209776,0.25781323084150193,0.2682204027485911
pooled_headline,pooled,10,0.4570741153301756,0.4693988809207108,0.4632364981254432,27600,6887,0.24952898550724636,0.24445868876923058,0.2546689978640676
pooled_headline,pooled,11,0.4693988809207108,0.4820994243151266,0.4757491526179187,27512,6849,0.24894591451003198,0.2438716464401452,0.25409028397015343
pooled_headline,pooled,12,0.4820994243151266,0.4952601028829388,0.4886797635990327,27208,6556,0.24095854160541016,0.23591360758728538,0.24607661537505907
pooled_headline,pooled,13,0.4952601028829388,0.5089636550657733,0.502111878974356,27376,6935,0.25332407948568086,0.24820694074573577,0.25851043924085987
pooled_headline,pooled,14,0.5089636550657733,0.5235824709864912,0.5162730630261323,27648,5667,0.20496961805555555,0.20025236127840568,0.20976885047336424
pooled_headline,pooled,15,0.5235824709864912,0.5390943792287936,0.5313384251076424,26808,4182,0.15599820948970455,0.1517038742806067,0.16039112183484103
pooled_headline,pooled,16,0.5390943792287936,0.5558800521728245,0.547487215700809,27312,3608,0.13210310486233157,0.1281390137295921,0.13617067534108987
pooled_headline,pooled,17,0.5558800521728245,0.5740096401326112,0.5649448461527179,27240,2763,0.101431718061674,0.09790251873764158,0.10507332002953138
pooled_headline,pooled,18,0.5740096401326112,0.5942650466991753,0.5841373434158933,26072,2145,0.08227216937710954,0.07899795493931211,0.08566946657163924
pooled_headline,pooled,19,0.5942650466991753,0.6170708072981415,0.6056679269986585,27040,1777,0.06571745562130178,0.06282524371461433,0.0687330479150778
pooled_headline,pooled,20,0.6170708072981415,0.6435040890801595,0.6302874481891505,26968,1445,0.05358202313853456,0.050957333731993,0.05633387918985658
pooled_headline,pooled,21,0.6435040890801595,0.6740024827361973,0.6587532859081784,27528,1073,0.038978494623655914,0.036755700115221154,0.041329944544306454
pooled_headline,pooled,22,0.6740024827361973,0.7078105817282393,0.6909065322322183,26768,707,0.02641213389121339,0.024557982539113135,0.028402199325999952
pooled_headline,pooled,23,0.7078105817282393,0.7421642163731287,0.724987399050684,26880,516,0.019196428571428573,0.017623439272155147,0.020906827920015785
pooled_headline,pooled,24,0.7421642163731287,0.7747344345782126,0.7584493254756706,26128,433,0.016572259644825473,0.01509383168351629,0.01819282347514654
pooled_headline,pooled,25,0.7747344345782126,0.804787582394702,0.7897610084864572,26456,373,0.014098881161173268,0.012747077827710498,0.015591776627109819
pooled_headline,pooled,26,0.804787582394702,0.8342645593699238,0.8195260708823129,25912,294,0.011346094473602963,0.01012700427702033,0.012710054581990446
pooled_headline,pooled,27,0.8342645593699238,0.863856043269203,0.8490603013195634,24888,239,0.009603021536483446,0.008464808126648963,0.0108926025359675
pooled_headline,pooled,28,0.863856043269203,0.8988592642197116,0.8813576537444573,23232,218,0.009383608815426997,0.008222377771827034,0.010707067848081132
pooled_headline,pooled,29,0.8988592642197116,0.9945077405352594,0.9466835023774856,21024,199,0.009465372907153729,0.008243157381994154,0.010866821076279945
overall,-0.5,0,0.1858863065273828,0.3222084652543739,0.2540473858908784,6908,1468,0.212507237984945,0.2030214334185948,0.22231261937567065
