lambda,shock_label,state,event_count,VWAP_mean_kappa,VWAP_median_kappa,LWMP_mean_kappa,LWMP_median_kappa,LWMP_zero_share,LWMP_one_share
0.001,+0.1%,non_lockin,458973,0.41101104761984497,0.4167149041547317,0.2312197495121972,0.08403487956191893,0.33400657555019575,0.06394275916012489
0.001,+0.1%,lockin,549862,0.6788473079201017,0.6556983367658382,0.9999999999998899,0.9999999999998898,0.0,1.0
-0.001,-0.1%,non_lockin,458973,0.41101104761989077,0.4167149041542398,0.4771849309365829,0.4456975323311755,0.23004403309127117,0.1745941482396568
-0.001,-0.1%,lockin,549862,0.678847307920177,0.6556983367654245,1.0000000000000009,1.0000000000000009,0.0,1.0
0.01,+1.0%,non_lockin,458973,0.4110110476198907,0.4167149041545022,0.036328418432748755,0.011187682374782116,0.2812714473400396,0.0002222352948866273
0.01,+1.0%,lockin,549862,0.6788473079201771,0.6556983367657553,1.0000000000000009,1.0000000000000009,0.0,1.0
-0.01,-1.0%,non_lockin,458973,0.4110110476198907,0.4167149041544858,0.07601798175022233,0.04929186031101452,0.20963542517751588,0.00044229181237240533
-0.01,-1.0%,lockin,549862,0.6788473079201771,0.6556983367657139,1.0000000000000009,1.0000000000000009,0.0,1.0
