Specification,Active venue set,Missing venue set,Start date,End date,Valid minutes,Calendar coverage share,Venue count,Share max_share > 0.5,Median max_share,P95 max_share,Median HHI,P95 HHI,Dominant exchange distribution,Spell count,Median spell,P95 spell,Maximum spell,Non-lockin pivot-change rate,Lockin pivot-change rate,Difference,Rate ratio,Bootstrap CI 1-day,Bootstrap CI 7-day,Lowest-bin VWAP q95 gap,Highest-bin VWAP q95 gap,Median LWMP pass-through in lock-in,Median VWAP pass-through in lock-in,Median VWAP pass-through in non-lock-in,DV-only status
BTC baseline valid-minute sample,variable (>=3 valid),variable,2021-01-01 00:00:00+00:00,2022-12-31 23:59:00+00:00,1050207,0.9990553652968036,3-7,0.5549734480916619,0.5235824709864912,0.8802381071925469,0.3584171720552531,0.7807781027860451,"{""Binance"":0.8020904450265519,""BitMEX"":0.13001627298237395,""Bitfinex"":0.006218774013123127,""Bitstamp"":0.0013387836874063875,""Coinbase"":0.02606248101564739,""KuCoin"":0.006552993838357581,""OKX"":0.027720249436539654}",164078,1.0,6.0,2982,0.27927641929248886,0.06767736821244551,-0.21159905108004334,0.24233112263433296,"[-0.216778933188, -0.206534290541]","[-0.221182609135, -0.201486794908]",0.0012477687453075672,9.69792195417997e-05,0.9999999999998898,0.6637572117387025,0.41684387824972685,run
BTC all-seven-valid sample,Binance|Bitfinex|BitMEX|Bitstamp|Coinbase|KuCoin|OKX,,2021-01-01 00:00:00+00:00,2022-12-31 23:59:00+00:00,1008835,0.9596984398782344,7,0.5450465140483826,0.5187303697822121,0.8709818530543195,0.3545871075190714,0.7652009209555946,"{""Binance"":0.7987659032448319,""BitMEX"":0.1326183171678223,""Bitfinex"":0.006363776038698103,""Bitstamp"":0.0013758444145970353,""Coinbase"":0.026341274836816725,""KuCoin"":0.006449022882830195,""OKX"":0.028085861414403744}",179252,1.0,8.0,787,0.27671179480422514,0.06934753869599544,-0.2073642561082297,0.25061287591683307,"[-0.212423933291, -0.202317877366]","[-0.216585810403, -0.197440259866]",0.0012511294973744475,9.92218467538812e-05,0.9999999999998898,0.6556983367658382,0.4167149041547317,run
"BTC six base-volume venues, all-six-valid",Binance|Bitfinex|Bitstamp|Coinbase|KuCoin|OKX,BitMEX (excluded by design),2021-01-01 00:00:00+00:00,2022-12-31 23:59:00+00:00,1024633,0.9747269786910198,6,0.7772763516302911,0.6223640942634494,0.9063988853109166,0.4422876001869472,0.8257626962220591,"{""Binance"":0.9218510432515837,""Bitfinex"":0.0071157185060407,""Bitstamp"":0.0016005730832405359,""Coinbase"":0.031011103487785383,""KuCoin"":0.007382155366848423,""OKX"":0.03103940630450122}",136254,2.0,19.0,1365,0.2660623267459537,0.0615629105804158,-0.2044994161655379,0.23138529732245172,"[-0.209925492682, -0.199058992275]","[-0.213112794278, -0.196165704462]",0.000809156773367502,7.534334400774811e-05,0.9999999999998899,0.6767754385642066,0.44166487520803366,run
Fixed active set: Binance|Bitfinex|BitMEX|Coinbase|KuCoin|OKX,Binance|Bitfinex|BitMEX|Coinbase|KuCoin|OKX,Bitstamp,2021-01-01 00:00:00+00:00,2022-12-31 23:59:00+00:00,16445,0.01564402587519026,6,0.7070842201276983,0.6420507984209726,0.9247143860406972,0.4694319687879179,0.8573798778328707,"{""Binance"":0.8248099726360596,""BitMEX"":0.10757069017938584,""Bitfinex"":0.0044390392216479176,""Coinbase"":0.02091821222256005,""KuCoin"":0.015567041653998175,""OKX"":0.026695044086348433}",10497,1.0,2.0,55,,,,,,,0.001104765864713028,0.00010087022107270448,0.9999999999998892,0.7633989480311244,0.4176984031973222,"not run: <50,000 minutes"
Fixed active set: Binance|Bitfinex|Bitstamp|Coinbase|KuCoin|OKX,Binance|Bitfinex|Bitstamp|Coinbase|KuCoin|OKX,BitMEX,2021-01-01 00:00:00+00:00,2022-12-31 23:59:00+00:00,15798,0.015028538812785389,6,0.9401190024053677,0.8645028729449171,0.9569530611350614,0.7572198624904605,0.9167235707035672,"{""Binance"":0.9698696037473098,""Bitfinex"":0.0016457779465755158,""Bitstamp"":0.00044309406253956196,""Coinbase"":0.014685403215596912,""KuCoin"":0.0037979491074819596,""OKX"":0.009558171920496265}",11382,1.0,3.0,281,,,,,,,0.0012377466450599096,8.00112845892583e-05,0.999999999999891,0.8716280579460186,0.44499900057018094,"not run: <50,000 minutes"
