block_days,statistic,point_estimate,bootstrap_mean,bootstrap_se,ci95_low,ci95_high,block_count,completed_reps,requested_reps,seed
1,rate_nonlock,0.2660623267459537,0.2660550514171783,0.0025763324392361953,0.26112657176722526,0.27113843639110624,730,5000,5000,42
1,rate_lock,0.0615629105804158,0.061586596714408054,0.0013948976534825085,0.058931024208291244,0.06440368868421158,730,5000,5000,42
1,difference_lock_minus_nonlock,-0.2044994161655379,-0.20446845470277022,0.0027596088540410464,-0.20992549268194766,-0.19905899227460266,730,5000,5000,42
1,ratio_lock_over_nonlock,0.23138529732245172,0.2314955042579948,0.005415830905992921,0.2208988880883081,0.24214614267158338,730,5000,5000,42
7,rate_nonlock,0.2660623267459537,0.2660779293055739,0.0031812576207582853,0.2598607714286109,0.27219517453052156,105,5000,5000,42
7,rate_lock,0.0615629105804158,0.06166202347107667,0.003305756528221109,0.0551860257001706,0.06815190634825022,105,5000,5000,42
7,difference_lock_minus_nonlock,-0.2044994161655379,-0.20441590583449726,0.004349817837012054,-0.21311279427750868,-0.1961657044624927,105,5000,5000,42
7,ratio_lock_over_nonlock,0.23138529732245172,0.23176227041762867,0.012449964766792625,0.20740130731813158,0.25560379103672637,105,5000,5000,42
