bin_id,left,right
0,0.2184157803147511,0.3153666263328002
1,0.3153666263328002,0.34233111950686634
2,0.34233111950686634,0.3735871817692933
3,0.3735871817692933,0.5827484159437275
4,0.5827484159437275,0.8904149126107712
