bin_id,x_left,x_right,x_center,n,q95_rel_gap_dom,ci_low,ci_high,median_rel_gap_dom
0,0.186,0.322,0.254,35007,0.0012543189275848966,0.0012306305308708303,0.001282057963590559,0.00029514224902275443
1,0.322,0.348,0.33499999999999996,35007,0.001270364520419789,0.001236161362596918,0.00129605496297289,0.0002939474105888075
2,0.348,0.366,0.357,35007,0.0012198444462234784,0.0011972400476697896,0.0012475008197254925,0.0002923247666257301
3,0.366,0.382,0.374,35007,0.0012067517419694972,0.001184263838918682,0.001241510661390848,0.00029114799918964976
4,0.382,0.395,0.3885,35007,0.0011874436496147954,0.0011693906426870756,0.0012138354295975144,0.00028748510534690874
5,0.395,0.408,0.40149999999999997,35007,0.0011537719496896113,0.0011309950416069756,0.0011784264681654188,0.000284322798192484
6,0.408,0.421,0.4145,35007,0.001131666262109438,0.0011094940262549552,0.0011536597612355726,0.000278812821442844
7,0.421,0.433,0.427,35006,0.0010906501304017767,0.001076424973952787,0.0011077513073149503,0.0002745047161202308
8,0.433,0.445,0.439,35007,0.0010843102550150893,0.001058739917301675,0.0011038643949122795,0.000266416035479299
9,0.445,0.457,0.451,35007,0.0010403019741010782,0.0010204239965230751,0.0010591938465282402,0.00025970870078824887
10,0.457,0.469,0.46299999999999997,35007,0.001007457588859146,0.000993543887321696,0.0010262648133691997,0.00025226026143277156
11,0.469,0.482,0.4755,35007,0.0009723587581800144,0.0009557353761327277,0.000985494565093797,0.00024550040611192106
12,0.482,0.495,0.4885,35007,0.0009292301246908609,0.0009144957279082779,0.0009471372128596851,0.00023803791846369876
13,0.495,0.509,0.502,35007,0.0008920000954606288,0.0008791682963886603,0.0009038869596043312,0.0002327592906655799
14,0.509,0.524,0.5165,35006,0.000872345350556512,0.0008608037611427199,0.0008857936960923259,0.0002238993335410915
15,0.524,0.539,0.5315000000000001,35007,0.0008199970464804446,0.0008014140393846218,0.0008345702173489336,0.00021703604514260015
16,0.539,0.556,0.5475000000000001,35007,0.0007977560178523544,0.0007838594680006449,0.0008108884259986874,0.0002069747383654914
17,0.556,0.574,0.565,35007,0.0007525572750826343,0.0007390246146945556,0.000765768732887067,0.00020007230911684454
18,0.574,0.594,0.584,35007,0.0007337636044828683,0.0007200685922263955,0.0007479434781598873,0.000191906370182005
19,0.594,0.617,0.6054999999999999,35007,0.0006775254223627731,0.0006643481957947496,0.000689181456787383,0.00018150667589476356
20,0.617,0.644,0.6305000000000001,35007,0.0006429017383456348,0.000632711954309472,0.0006517756277704693,0.00017637605168129862
21,0.644,0.674,0.659,35007,0.0005929434329742895,0.0005833157886975163,0.0006030189232193409,0.0001717163718367441
22,0.674,0.708,0.6910000000000001,35006,0.0005443398563122586,0.0005365245409508011,0.0005523121101281035,0.00016342062674105592
23,0.708,0.742,0.725,35007,0.0004878507645534383,0.0004803427350111624,0.000494600976425049,0.00015814718816696812
24,0.742,0.775,0.7585,35007,0.0004230211904371741,0.0004166669123198828,0.00043000223332038376,0.00014294127553125254
25,0.775,0.805,0.79,35007,0.0003514635923620207,0.0003448367091961401,0.0003570470816881156,0.00012431372088708405
26,0.805,0.834,0.8195,35007,0.0002851383152406346,0.0002794696168500854,0.00028988517984940466,0.00010411761246746965
27,0.834,0.864,0.849,35007,0.00021768154714073,0.00021357464956798264,0.00022156740938521764,8.473288963140176e-05
28,0.864,0.899,0.8815,35007,0.00015792978943635847,0.00015585282393867063,0.00016042539147604948,6.433179779777294e-05
29,0.899,0.995,0.9470000000000001,35006,9.653186029965431e-05,9.48936078769071e-05,9.826709705327344e-05,3.783409896661231e-05
