bin_id,left,right
0,0.1858863065273828,0.3222084652543739
1,0.3222084652543739,0.347776059239043
2,0.347776059239043,0.3661953153403271
3,0.3661953153403271,0.3816573906802286
4,0.3816573906802286,0.3954889427061316
5,0.3954889427061316,0.4084709008909692
6,0.4084709008909692,0.42080930202926187
7,0.42080930202926187,0.43298031456403835
8,0.43298031456403835,0.444920756303171
9,0.444920756303171,0.45707411533017567
10,0.45707411533017567,0.4693988809207108
11,0.4693988809207108,0.48209942431512665
12,0.48209942431512665,0.4952601028829388
13,0.4952601028829388,0.5089636550657733
14,0.5089636550657733,0.5235824709864912
15,0.5235824709864912,0.5390943792287936
16,0.5390943792287936,0.5558800521728245
17,0.5558800521728245,0.5740096401326112
18,0.5740096401326112,0.5942650466991753
19,0.5942650466991753,0.6170708072981415
20,0.6170708072981415,0.6435040890801595
21,0.6435040890801595,0.6740024827361973
22,0.6740024827361973,0.7078105817282393
23,0.7078105817282393,0.7421642163731287
24,0.7421642163731287,0.7747344345782126
25,0.7747344345782126,0.804787582394702
26,0.804787582394702,0.8342645593699238
27,0.8342645593699238,0.863856043269203
28,0.863856043269203,0.8988592642197116
29,0.8988592642197116,0.9945077405352594
