bin_id,left,right
0,0.2184157803147511,0.2788905392022072
1,0.2788905392022072,0.29006289572821925
2,0.29006289572821925,0.29804329391481066
3,0.29804329391481066,0.304554337737666
4,0.304554337737666,0.310244311134085
5,0.310244311134085,0.3153666263328002
6,0.3153666263328002,0.3201067262095752
7,0.3201067262095752,0.32469176237453684
8,0.32469176237453684,0.32915322222922155
9,0.32915322222922155,0.3335485060004394
10,0.3335485060004394,0.337878050830882
11,0.337878050830882,0.34233111950686634
12,0.34233111950686634,0.346842929035882
13,0.346842929035882,0.35140215566745
14,0.35140215566745,0.3562592317152043
15,0.3562592317152043,0.36151171771866014
16,0.36151171771866014,0.36724169466320916
17,0.36724169466320916,0.3735871817692933
18,0.3735871817692933,0.3807831958985343
19,0.3807831958985343,0.3895893003380932
20,0.3895893003380932,0.40162357533564313
21,0.40162357533564313,0.4236710672639706
22,0.4236710672639706,0.5175470117500728
23,0.5175470117500728,0.5827484159437275
24,0.5827484159437275,0.6219773452689206
25,0.6219773452689206,0.6537063896443109
26,0.6537063896443109,0.6849423603713517
27,0.6849423603713517,0.7189231442045405
28,0.7189231442045405,0.7599547144118193
29,0.7599547144118193,0.8904149126107712
