block_days,statistic,point_estimate,bootstrap_mean,bootstrap_se,ci95_low,ci95_high,reps_completed,seed,n_blocks
1,rate_nonlock,0.28668153899640747,0.2866855482638434,0.0019098180717192468,0.2829604525026506,0.290530093906849,5000,20260712,730
1,rate_lock,0.11207237709963944,0.11210334051351471,0.0014284703801605819,0.10937863611123609,0.11490883697998609,5000,20260712,730
1,difference_lock_minus_nonlock,-0.17460916189676803,-0.17458220775032873,0.002323867616996634,-0.17916380054424275,-0.1701015851006528,5000,20260712,730
1,ratio_lock_over_nonlock,0.39092987114543104,0.3910480018467404,0.005497989776416809,0.38027921591546177,0.40182625578784686,5000,20260712,730
7,rate_nonlock,0.28668153899640747,0.2866779934439124,0.0022922517273463827,0.28224319079404564,0.29135363459958213,5000,20260712,105
7,rate_lock,0.11207237709963944,0.11211588460402809,0.0029269861374990286,0.1064560469918597,0.11797363560325382,5000,20260712,105
7,difference_lock_minus_nonlock,-0.17460916189676803,-0.17456210883988432,0.003653513634586272,-0.18178121090880042,-0.16734031862303428,5000,20260712,105
7,ratio_lock_over_nonlock,0.39092987114543104,0.39110856468528193,0.010571060021767447,0.3705218492593279,0.4123089784582409,5000,20260712,105
