lambda,shock_label,state,event_count,VWAP_mean_kappa,VWAP_median_kappa,VWAP_p95_kappa,LWMP_mean_kappa,LWMP_median_kappa,LWMP_p95_kappa,LWMP_zero_share,LWMP_one_share
0.001,+0.100%,non_lockin,453402,0.4146702609193452,0.42052940309760933,0.4918640016784101,0.2714816906030342,0.13037095393497183,0.9999999999998387,0.3458145310342698,0.060599644465617705
0.001,+0.100%,lockin,597796,0.6524936090386906,0.6304597078650396,0.8685490214145274,0.99999999999989,0.9999999999998899,0.9999999999999641,0.0,1.0
-0.001,-0.100%,non_lockin,453402,0.4146702609193911,0.42052940309746156,0.4918640016782921,0.2743806720738137,0.1322683182429969,0.9999999999999645,0.29265640645608093,0.06850432949126824
-0.001,-0.100%,lockin,597796,0.652493609038763,0.6304597078650396,0.8685490214143758,1.0000000000000009,1.0000000000000009,1.000000000000075,0.0,1.0
0.01,+1.000%,non_lockin,453402,0.41467026091939096,0.4205294030975698,0.49186400167841426,0.037915713995542354,0.015939591807048674,0.14406889864298933,0.3109668682537792,0.00012130515524854323
0.01,+1.000%,lockin,597796,0.652493609038763,0.6304597078649756,0.8685490214144297,1.0000000000000009,1.0000000000000009,1.0000000000000084,0.0,1.0
-0.01,-1.000%,non_lockin,453402,0.4146702609193911,0.4205294030975756,0.49186400167841426,0.037142339109619456,0.015147313072290185,0.14150910994856394,0.2677557664059709,0.0003109823070917199
-0.01,-1.000%,lockin,597796,0.652493609038763,0.6304597078649863,0.8685490214144297,1.0000000000000009,1.0000000000000009,1.0000000000000082,0.0,1.0
