shock_type,gamma,bin_id,x_left,x_right,max_share_mid,n,k,pivot_rate,ci_lo,ci_hi
inflate_only,-0.5,0,0.20255891124204944,0.3290009718847427,0.26577994156339607,3299,628,0.1903607153682934,0.17732706602932236,0.20411465978641158
inflate_only,-0.5,1,0.3290009718847427,0.35344498638485744,0.34122297913480004,3324,506,0.15222623345367028,0.14041548663772674,0.16483990772960133
inflate_only,-0.5,2,0.35344498638485744,0.37163132276118577,0.36253815457302163,3279,482,0.14699603537663922,0.1352888656074656,0.15952937965907427
inflate_only,-0.5,3,0.37163132276118577,0.3871747084057476,0.3794030155834667,3365,538,0.15988112927191678,0.14788677535214353,0.17265118048407027
inflate_only,-0.5,4,0.3871747084057476,0.40127776318866143,0.3942262357972045,3349,568,0.1696028665273216,0.15727270664853976,0.18269014754654062
inflate_only,-0.5,5,0.40127776318866143,0.4145383429083215,0.4079080530484914,3290,651,0.19787234042553192,0.1846145079838394,0.2118349144777629
inflate_only,-0.5,6,0.4145383429083215,0.427264375650558,0.4209013592794397,3339,688,0.20604971548367776,0.19267199348890954,0.22010305394378968
inflate_only,-0.5,7,0.427264375650558,0.43961365849498674,0.4334390170727724,3459,824,0.2382191384793293,0.22431786409004625,0.2527012406821732
inflate_only,-0.5,8,0.43961365849498674,0.4517624973795404,0.44568807793726356,3282,838,0.25533211456429006,0.2407057936546828,0.2705305361793543
inflate_only,-0.5,9,0.4517624973795404,0.46377634036325416,0.45776941887139727,3230,858,0.2656346749226006,0.2506877186275677,0.2811384536871184
inflate_only,-0.5,10,0.46377634036325416,0.47594261790777187,0.469859479135513,3436,975,0.2837601862630966,0.268933960044154,0.29906940383167097
inflate_only,-0.5,11,0.47594261790777187,0.4882578866746426,0.48210025229120723,3359,1011,0.30098243524858587,0.2857050573611574,0.3167145154191959
inflate_only,-0.5,12,0.4882578866746426,0.5007599055610387,0.49450889611784066,3322,973,0.29289584587597833,0.2776663058985909,0.30860382795264235
inflate_only,-0.5,13,0.5007599055610387,0.5137094566018006,0.5072346810814197,3441,460,0.13368206916594014,0.12271883356161516,0.14546232170543688
inflate_only,-0.5,14,0.5137094566018006,0.5272568515613503,0.5204831540815754,3373,452,0.13400533649570115,0.12292417898155981,0.14591922782792743
inflate_only,-0.5,15,0.5272568515613503,0.5412493329962655,0.5342530922788079,3261,439,0.13462128181539404,0.1233352554232416,0.14676715934628348
inflate_only,-0.5,16,0.5412493329962655,0.5558206710001025,0.5485350019981841,3260,399,0.12239263803680982,0.11158434748136306,0.1340898298439091
