shock_type,gamma,N_total,pivot_rate_weighted,pivot_rate_topbin,x_topbin_mid,x_at_pivot_rate_50,x_metric
inflate_only,-0.5,99991,0.11593043373903651,0.0,0.9446629167997904,,max_share
inflate_only,0.5,99991,0.09301837165344881,0.0,0.9446629167997904,,max_share
inflate_only,1.0,99991,0.14597313758238242,0.0,0.9446629167997904,,max_share
inflate_only,2.0,99991,0.21846966226960426,0.0,0.9446629167997904,,max_share
inflate_only,-0.5,99991,0.11593043373903651,0.0018001800180018,0.8241636516639588,,HHI_roll
inflate_only,0.5,99991,0.09301837165344881,0.00030003000300030005,0.8241636516639588,,HHI_roll
inflate_only,1.0,99991,0.14597313758238242,0.0021002100210021,0.8241636516639588,,HHI_roll
inflate_only,2.0,99991,0.21846966226960426,0.0054005400540054005,0.8241636516639588,,HHI_roll
reallocate_total_fixed,-0.5,99991,0.15954435899230932,0.07230723072307231,0.9446629167997904,,max_share
reallocate_total_fixed,0.5,99991,0.11634047064235781,0.0,0.9446629167997904,,max_share
reallocate_total_fixed,1.0,99991,0.17853606824614215,0.0,0.9446629167997904,,max_share
reallocate_total_fixed,2.0,99991,0.2667040033603024,0.0,0.9446629167997904,0.2639451236930571,max_share
reallocate_total_fixed,-0.5,99991,0.15954435899230932,0.08250825082508251,0.8241636516639588,,HHI_roll
reallocate_total_fixed,0.5,99991,0.11634047064235781,0.0015001500150015,0.8241636516639588,,HHI_roll
reallocate_total_fixed,1.0,99991,0.17853606824614215,0.004500450045004501,0.8241636516639588,,HHI_roll
reallocate_total_fixed,2.0,99991,0.2667040033603024,0.0102010201020102,0.8241636516639588,,HHI_roll
overall,-0.5,199982,0.13773739636567292,0.036153615361536155,0.9446629167997904,,max_share
overall,0.5,199982,0.10467942114790331,0.0,0.9446629167997904,,max_share
overall,1.0,199982,0.16225460291426227,0.0,0.9446629167997904,,max_share
overall,2.0,199982,0.24258683281495336,0.0,0.9446629167997904,0.2639451236930571,max_share
overall,-0.5,199982,0.13773739636567292,0.04215421542154216,0.8241636516639588,,HHI_roll
overall,0.5,199982,0.10467942114790331,0.0009000900090009,0.8241636516639588,,HHI_roll
overall,1.0,199982,0.16225460291426227,0.0033003300330033004,0.8241636516639588,,HHI_roll
overall,2.0,199982,0.24258683281495336,0.007800780078007801,0.8241636516639588,,HHI_roll
