episode_id,start_utc,end_utc,dur_min,dominant_exchange_mode,max_share_median,max_share_p05,max_share_p95,HHI_roll_median,pivot_is_dominant_rate,pivot_margin_norm_median,gap_norm_median
1,2022-11-29 17:28:00+00:00,2022-12-01 19:09:00+00:00,2982,Binance,0.8115671093428857,0.6596121016138651,0.8924340588535714,0.6598858609983417,1.0,0.49560270968522,0.1717710765211753
2,2022-10-30 11:37:00+00:00,2022-11-01 13:03:00+00:00,2967,Binance,0.8586789253453581,0.7355219356222366,0.9276376348414156,0.7332711466018919,1.0,0.4690001614248851,0.11015050119703712
3,2022-09-23 13:54:00+00:00,2022-09-25 04:48:00+00:00,2335,Binance,0.8183008592530843,0.6766458212623772,0.9046579043111536,0.6822707214089216,1.0,0.4722846669479375,0.13934835569117437
