measure,measure_pretty,delta,quintile,lwmp_exceed_pct,lwmp_ci_low,lwmp_ci_high,vwap_p95_pt,vwap_ci_low,vwap_ci_high,N_lwmp,N_vwap
q_hhi,HHI (roll if available),0.05,1,3.1429704540947854,2.977125510672279,3.317738103543952,0.45953190742669076,0.4560415041777281,0.4632577960873678,40344,40344
q_hhi,HHI (roll if available),0.05,2,5.230661111389991,5.016321383558618,5.453633403392098,0.5056469091930097,0.5012413490938545,0.5100482552860568,39842,39842
q_hhi,HHI (roll if available),0.05,3,7.120888932982787,6.873918795355732,7.376029550257529,0.5426160267788556,0.5382889884917483,0.5482971290360255,40318,40318
q_hhi,HHI (roll if available),0.05,4,10.029186795491144,9.737711397359671,10.328388493709634,0.6453800167732285,0.6385615792709004,0.6513130727883375,39744,39744
q_hhi,HHI (roll if available),0.05,5,14.091206523380482,13.752565258053767,14.436790653013132,0.8576139622372564,0.854698365243276,0.8606792131086717,39734,39734
q_hhi,HHI (roll if available),0.1,1,3.1801507039460635,3.0133314903174657,3.3558855435870187,0.4608870970993627,0.45735834083519833,0.46567733356263835,40344,40344
q_hhi,HHI (roll if available),0.1,2,5.584559008081923,5.363334787580444,5.814347553053064,0.5111574141662963,0.5066306198043219,0.5157124264328456,39842,39842
q_hhi,HHI (roll if available),0.1,3,6.919986110422144,6.6763332681282375,7.171847713764215,0.5392258776273978,0.5353662028229048,0.5437962373662197,40318,40318
q_hhi,HHI (roll if available),0.1,4,9.936090982286634,9.645846139975603,10.234080119970043,0.6434797696281319,0.6380483705605603,0.6499020102639398,39744,39744
q_hhi,HHI (roll if available),0.1,5,14.189359238938945,13.849715423658695,14.535926940973413,0.8591906138255005,0.855420643885304,0.8623152291743504,39734,39734
q_maxshare,max_share,0.05,1,0.0,0.0,0.00967076658567685,0.38133684701892034,0.3801560239707433,0.382442909913421,39720,39720
q_maxshare,max_share,0.05,2,0.0,0.0,0.009525452735723116,0.455884858508837,0.4548084170219968,0.4569922432377999,40326,40326
q_maxshare,max_share,0.05,3,11.006178731099613,10.702509628727825,11.317372031557849,0.5371911682839455,0.5361786496689415,0.5388491640742402,39814,39814
q_maxshare,max_share,0.05,4,14.188084979943543,13.851179022061311,14.531803296938422,0.669460711984813,0.6666315080735293,0.6724270169637245,40386,40386
q_maxshare,max_share,0.05,5,14.334608415542583,13.993499706782094,14.682612580489831,0.8609323724445564,0.8578333901288212,0.8638271914067626,39736,39736
q_maxshare,max_share,0.1,1,0.0,0.0,0.00967076658567685,0.3804845949566368,0.37939127619326135,0.38133114815815944,39720,39720
q_maxshare,max_share,0.1,2,0.0,0.0,0.009525452735723116,0.455099576703845,0.4540519331161443,0.45612641017879624,40326,40326
q_maxshare,max_share,0.1,3,11.169437886170694,10.863765992787236,11.482602475361977,0.5376917856346883,0.5361125035669604,0.5390114039107379,39814,39814
q_maxshare,max_share,0.1,4,14.024662011588173,13.689414839147043,14.366752630447586,0.668519765986448,0.6650742509372786,0.671132921016536,40386,40386
q_maxshare,max_share,0.1,5,14.530903966176767,14.187823223481894,14.880842213775413,0.8623100612272854,0.8594874214841921,0.864499323145174,39736,39736
q_neff,N_eff = 1/HHI,0.05,1,3.1429704540947854,2.977125510672279,3.317738103543952,0.45953190742669076,0.4560415041777281,0.4632577960873678,40344,40344
q_neff,N_eff = 1/HHI,0.05,2,5.230661111389991,5.016321383558618,5.453633403392098,0.5056469091930097,0.5012413490938545,0.5100482552860568,39842,39842
q_neff,N_eff = 1/HHI,0.05,3,7.120888932982787,6.873918795355732,7.376029550257529,0.5426160267788556,0.5382889884917483,0.5482971290360255,40318,40318
q_neff,N_eff = 1/HHI,0.05,4,10.029186795491144,9.737711397359671,10.328388493709634,0.6453800167732285,0.6385615792709004,0.6513130727883375,39744,39744
q_neff,N_eff = 1/HHI,0.05,5,14.091206523380482,13.752565258053767,14.436790653013132,0.8576139622372564,0.854698365243276,0.8606792131086717,39734,39734
