,hhi_base,max_share,neff,top_hhi_share,hhi_rest,hhi_rest_norm
hhi_base,1.0,0.6974149704540643,-1.0,0.37514385835498343,-0.23096777481167569,0.09399605540723091
max_share,0.6974149704540643,1.0,-0.6974149704540643,0.9012069268028219,-0.8080633844778852,-0.46248747387930583
neff,-1.0,-0.6974149704540643,1.0,-0.37514385835498343,0.23096777481167569,-0.09399605540723091
top_hhi_share,0.37514385835498343,0.9012069268028219,-0.37514385835498343,1.0,-0.9685888863524206,-0.722121847940849
hhi_rest,-0.23096777481167569,-0.8080633844778852,0.23096777481167569,-0.9685888863524206,1.0,0.8322905806651859
hhi_rest_norm,0.09399605540723091,-0.46248747387930583,-0.09399605540723091,-0.722121847940849,0.8322905806651859,1.0
