,delta_abs,g,N,LWMP_exceed_pct,LWMP_CI_lo_pct,LWMP_CI_hi_pct,VWAP_p95_PT,VWAP_p95_CI_lo,VWAP_p95_CI_hi,measure_raw,measure_pretty,scheme
0,0.05,1,99992,4.650372029762381,4.5215852144967155,4.782643292541522,0.4922967711732612,0.48987864110306906,0.4948515361256616,hhi_base,HHI (roll if available),median
1,0.05,2,99990,11.15911591159116,10.965442425820672,11.355773803959622,0.7605649690696348,0.7556869767010361,0.7655947847518333,hhi_base,HHI (roll if available),median
2,0.1,1,99992,4.811384910792863,4.680464047517542,4.945777850125529,0.4962410848201364,0.493757707895638,0.49859093855073444,hhi_base,HHI (roll if available),median
3,0.1,2,99990,11.075107510751076,10.88208129883155,11.27112458419955,0.7647778929404155,0.7605410497393266,0.7700261656237938,hhi_base,HHI (roll if available),median
4,0.05,1,66662,3.8597701839128735,3.7161744242609602,4.008683578581683,0.47511444130032293,0.4721906610208974,0.4782351645260852,hhi_base,HHI (roll if available),tercile
5,0.05,2,66660,6.957695769576958,6.767015049946093,7.1533372389024965,0.5413664585042783,0.5380724529424784,0.5451366148418825,hhi_base,HHI (roll if available),tercile
6,0.05,3,66660,12.896789678967895,12.644488543102126,13.153367066827196,0.8161430159856108,0.8129761196495163,0.8205125439400343,hhi_base,HHI (roll if available),tercile
7,0.1,1,66662,4.045783204824337,3.898840194205841,4.19802241256578,0.47977572094847437,0.47685439308384986,0.48283516474878907,hhi_base,HHI (roll if available),tercile
8,0.1,2,66660,6.93969396939694,6.749245621172596,7.135105142075347,0.5402438421299055,0.5374842344219368,0.5439259355136951,hhi_base,HHI (roll if available),tercile
9,0.1,3,66660,12.844284428442846,12.592428205384026,13.10042295487674,0.8198507954170793,0.8164400185482538,0.8233463902393036,hhi_base,HHI (roll if available),tercile
10,0.05,1,49996,3.4202736218897507,3.264501472260202,3.5832034212689003,0.4655000747995045,0.46208572070975096,0.46913486776143026,hhi_base,HHI (roll if available),quartile
11,0.05,2,49996,5.880470437635011,5.6776186085679,6.090101871570583,0.5182890529257784,0.5140183510163914,0.5226943638261838,hhi_base,HHI (roll if available),quartile
12,0.05,3,49996,8.296663733098649,8.058069059393741,8.541666728569236,0.5756739004292084,0.5713967952946515,0.580226097770268,hhi_base,HHI (roll if available),quartile
13,0.05,4,49994,14.02168260191223,13.720083279981882,14.328810734674951,0.8427303275333508,0.8402571113705128,0.8457318732904494,hhi_base,HHI (roll if available),quartile
14,0.1,1,49996,3.558284662773022,3.3994366638387468,3.724269104061126,0.46936212165105545,0.4649640945567649,0.4727797043310573,hhi_base,HHI (roll if available),quartile
15,0.1,2,49996,6.064485158812706,5.858623014823884,6.277098631142292,0.5216617595241533,0.5182762108945191,0.5263115605625556,hhi_base,HHI (roll if available),quartile
16,0.1,3,49996,8.136650932074566,7.900202256953263,8.379532517246501,0.5735898044105239,0.5691132658729418,0.5779319007767234,hhi_base,HHI (roll if available),quartile
17,0.1,4,49994,14.013681641797016,13.7121556150918,14.320737708847211,0.844118328962248,0.8413249511206684,0.8474828695985703,hhi_base,HHI (roll if available),quartile
18,0.05,1,39998,3.1301565078253915,2.963953390396302,3.3053619703244914,0.45908235227121164,0.45534412414031644,0.4629357732936771,hhi_base,HHI (roll if available),quintile
19,0.05,2,39996,5.210521052105211,4.996985337663957,5.432659963731436,0.505427035773401,0.5004683537374309,0.510527950767117,hhi_base,HHI (roll if available),quintile
20,0.05,3,39996,7.105710571057106,6.858014152832148,7.361646157022678,0.5424706935063935,0.5384888600827743,0.5483076136672861,hhi_base,HHI (roll if available),quintile
21,0.05,4,39996,10.00100010001,9.710802874344584,10.298880364001038,0.6427097666014285,0.6363690280599195,0.6494658851077708,hhi_base,HHI (roll if available),quintile
22,0.05,5,39996,14.076407640764078,13.739017159674058,14.420698352799374,0.857058780662721,0.8539022646008005,0.8601631216816864,hhi_base,HHI (roll if available),quintile
23,0.1,1,39998,3.165158257912896,2.9980317568295938,3.3412803812395704,0.46060060238401707,0.45631122142769664,0.46401595970890935,hhi_base,HHI (roll if available),quintile
24,0.1,2,39996,5.575557555755576,5.354923055537981,5.8047251366688615,0.5108031946586595,0.5066100680099117,0.5159795707383414,hhi_base,HHI (roll if available),quintile
25,0.1,3,39996,6.918191819181918,6.673606530341618,7.171052294507328,0.5391946052855852,0.5355750196469252,0.5429869681533293,hhi_base,HHI (roll if available),quintile
26,0.1,4,39996,9.875987598759876,9.58744259633705,10.172239652004652,0.6407690054340376,0.635970198649161,0.6468057187660821,hhi_base,HHI (roll if available),quintile
27,0.1,5,39996,14.18141814181418,13.84295792280141,14.526758421275312,0.8588096445584597,0.8556193240751386,0.8623053630935898,hhi_base,HHI (roll if available),quintile
28,0.05,1,20000,2.41,2.2064176547261765,2.6318610087081513,0.44365793728478453,0.4371996217993358,0.4483770918522336,hhi_base,HHI (roll if available),decile
29,0.05,2,19998,3.850385038503851,3.592448084356068,4.1260491964143196,0.4749572484723226,0.4699412186399268,0.480727658386396,hhi_base,HHI (roll if available),decile
30,0.05,3,19998,4.760476047604761,4.473946700739597,5.064383009860653,0.49428235846245444,0.48843752114910155,0.5009346239669015,hhi_base,HHI (roll if available),decile
31,0.05,4,19998,5.660566056605661,5.3487125152619495,5.989451466598602,0.5151654973572467,0.5092995594495416,0.5217964424522724,hhi_base,HHI (roll if available),decile
32,0.05,5,19998,6.5706570657065715,6.235523132033238,6.922473279657177,0.5299577833551226,0.5234723457132964,0.5364377973680629,hhi_base,HHI (roll if available),decile
33,0.05,6,19998,7.640764076407641,7.28065570924557,8.017143669387647,0.5565327827814528,0.5512934158709456,0.5622609903006398,hhi_base,HHI (roll if available),decile
34,0.05,7,19998,8.095809580958095,7.725748562627809,8.48196703092034,0.574671031598151,0.5658330667392275,0.5827070182881788,hhi_base,HHI (roll if available),decile
35,0.05,8,19998,11.906190619061906,11.464619119518929,12.362394889031163,0.7025645112623206,0.6950151144659678,0.7103090306310371,hhi_base,HHI (roll if available),decile
36,0.05,9,19998,14.24142414241424,13.763918678912532,14.732665355629567,0.8215572081218533,0.8172191624611492,0.8246676433268414,hhi_base,HHI (roll if available),decile
37,0.05,10,19998,13.91139113911391,13.438672283499528,14.397972518247123,0.8864255985916049,0.8833661072003735,0.8902439591624793,hhi_base,HHI (roll if available),decile
38,0.1,1,20000,2.405,2.201633512520897,2.6266470713445544,0.4422385552810382,0.43620258059416384,0.4489643503201263,hhi_base,HHI (roll if available),decile
39,0.1,2,19998,3.9253925392539255,3.6649633025245496,4.203520167517531,0.47720601335858,0.47102514828488423,0.4838652442405627,hhi_base,HHI (roll if available),decile
40,0.1,3,19998,5.1905190519051905,4.89157050063583,5.5066800284554525,0.5027349672623365,0.4979973722426318,0.5091572321382757,hhi_base,HHI (roll if available),decile
41,0.1,4,19998,5.96059605960596,5.6408343131938175,6.297274425753502,0.5190458433012413,0.5122812150191931,0.5257941049881437,hhi_base,HHI (roll if available),decile
42,0.1,5,19998,6.575657565756576,6.2404012885062805,6.927594202468912,0.5321496282259932,0.5261202762684142,0.5381560345438124,hhi_base,HHI (roll if available),decile
43,0.1,6,19998,7.2607260726072615,6.9092217377315315,7.628647615258448,0.5493883531319183,0.5406401781483717,0.5565349365639796,hhi_base,HHI (roll if available),decile
44,0.1,7,19998,8.17081708170817,7.799150175308063,8.558551607511776,0.5749201286372568,0.5658779925363926,0.5823029009758625,hhi_base,HHI (roll if available),decile
45,0.1,8,19998,11.581158115811581,11.14500019419385,12.03207366084558,0.6979138774481862,0.6928219114597443,0.7059047995932173,hhi_base,HHI (roll if available),decile
46,0.1,9,19998,14.186418641864188,13.709704739203628,14.6768894232059,0.8237506491514224,0.8199059676686068,0.8259595092192504,hhi_base,HHI (roll if available),decile
47,0.1,10,19998,14.176417641764177,13.69984792392318,14.666748079916786,0.888435440357145,0.8853060328512213,0.891490368660273,hhi_base,HHI (roll if available),decile
48,0.05,1,66662,3.8597701839128735,3.7161744242609602,4.008683578581683,0.47511444130032293,0.4721906610208974,0.4782351645260852,hhi_base,HHI (roll if available),extreme_tercile
49,0.05,3,66662,12.896402748192374,12.644108638704832,13.152973025977849,0.8161279960864086,0.8130754075623735,0.8205631833099051,hhi_base,HHI (roll if available),extreme_tercile
50,0.1,1,66662,4.045783204824337,3.898840194205841,4.19802241256578,0.47977572094847437,0.47685439308384986,0.48283516474878907,hhi_base,HHI (roll if available),extreme_tercile
51,0.1,3,66662,12.843899072935105,12.5920498664326,13.100030498753998,0.8198432359162068,0.8163880468172026,0.8233772408954602,hhi_base,HHI (roll if available),extreme_tercile
52,0.05,1,20000,2.41,2.2064176547261765,2.6318610087081513,0.44365793728478453,0.4371996217993358,0.4483770918522336,hhi_base,HHI (roll if available),extreme_decile
53,0.05,10,20000,13.91,13.437324800882177,14.396536870967896,0.8864255985916043,0.8832547836623679,0.8897633005365109,hhi_base,HHI (roll if available),extreme_decile
54,0.1,1,20000,2.405,2.201633512520897,2.6266470713445544,0.4422385552810382,0.43620258059416384,0.4489643503201263,hhi_base,HHI (roll if available),extreme_decile
