shock_type,delta_w,weight_factor,N,pivot_change_rate,median_abs_shift_lwmp,median_abs_shift_vwap,mean_abs_shift_lwmp,mean_abs_shift_vwap,median_pivot_margin_before,median_pivot_margin_after,median_pivot_margin_delta,median_share_shocked_before,median_share_shocked_after,median_share_shocked_delta
inflate_only,-0.5,0.5,100000,0.153,0.0,1.9462373861253517e-05,7.494797075308513e-05,4.6476924312120834e-05,171670.2413276045,160951.32062992943,42.84271549881305,0.0992854613017678,0.0522358614515681,-0.04699535912002656
inflate_only,0.5,1.5,100000,0.12255,0.0,1.6720757703538735e-05,5.8666308567299225e-05,3.420596361914128e-05,171670.2413276045,190079.42596358867,500.0,0.0992854613017678,0.14188465046530335,0.0421830203243057
inflate_only,1.0,2.0,100000,0.20064,0.0,3.1300743063956084e-05,0.00010493724958362611,6.140838191191566e-05,171670.2413276045,208960.5262722387,2264.872563994155,0.0992854613017678,0.18063635842725784,0.0800294565527046
inflate_only,2.0,3.0,100000,0.30506,0.0,5.602778730876176e-05,0.00017634484542055717,0.00010328781298477094,171670.2413276045,253155.42266712722,14655.41126814628,0.0992854613017678,0.24850960279710743,0.14429777975748104
reallocate_total_fixed,-0.5,0.5,100000,0.19597,0.0,2.1316033561773648e-05,0.00010495193981508476,6.25998067270013e-05,171670.2413276045,177818.38675485988,319.4921680993939,0.0992854613017678,0.04964273065088385,-0.049642730650883954
reallocate_total_fixed,0.5,1.5,100000,0.16314,0.0,2.1213841812535595e-05,8.6473336803006e-05,5.961808153375852e-05,171670.2413276045,191546.66319459485,0.0,0.0992854613017678,0.1489281919526517,0.049588186023147
reallocate_total_fixed,1.0,2.0,100000,0.25716,0.0,4.1676524934947146e-05,0.0001488179338357734,0.00010889813851307308,171670.2413276045,214152.5353804212,131.76461529780408,0.0992854613017678,0.19857092260353565,0.098739381077913
reallocate_total_fixed,2.0,3.0,100000,0.3712,0.0,7.895530596521592e-05,0.00023566413614436118,0.00018136531449152335,171670.2413276045,257847.39170592715,8528.140565298469,0.0992854613017678,0.2978563839053035,0.19337788439344905
