shock_type,delta_w,weight_factor,exchange_shocked,N,pivot_change_rate,median_abs_shift_lwmp,median_abs_shift_vwap,mean_abs_shift_lwmp,mean_abs_shift_vwap,median_pivot_margin_before,median_pivot_margin_after,median_pivot_margin_delta,median_share_shocked_before,median_share_shocked_after,median_share_shocked_delta
inflate_only,-0.5,0.5,BitMEX,16525,0.2771558245083207,0.0,7.86066085496306e-05,0.0001554530939018251,0.00010847315681737098,174685.51432590943,139973.9548569239,-29550.0,0.2896456259444776,0.1693483118692424,-0.11776250559456558
inflate_only,-0.5,0.5,Bitfinex,16525,0.06499243570347958,0.0,5.6119156471274845e-06,2.9907685862713063e-05,2.1789079187627458e-05,173068.20061333792,173647.0685361277,554.5993443077896,0.0299509974043046,0.0152031738118401,-0.0147478235924645
inflate_only,-0.5,0.5,Bitstamp,16400,0.041646341463414636,0.0,1.93962286204543e-06,1.6592233259525034e-05,8.553002859338125e-06,172577.6297308083,172672.94750816934,-162.5835141198786,0.01577218857030295,0.007948779110644951,-0.007823409459657999
inflate_only,-0.5,0.5,Coinbase,16984,0.2570065944418276,0.0,3.644227211533775e-05,0.00012656274781861043,5.6129376208058925e-05,169140.71941106714,137157.39210374333,-29690.548467489756,0.25727676386615383,0.14762915813647753,-0.1085169848374685
inflate_only,-0.5,0.5,KuCoin,16718,0.13009929417394425,0.0,2.415373015444515e-05,5.8130572408090044e-05,4.3590898342183094e-05,169648.86266253918,174968.21490528877,13865.05823201887,0.10724798251259454,0.056662458441915656,-0.0505855240706789
inflate_only,-0.5,0.5,OKX,16848,0.14381528964862297,0.0,2.2726800291943865e-05,6.16232755088783e-05,3.993267867604755e-05,170572.62809701342,168134.9441416356,7017.485666011547,0.09706394919471681,0.0510074677259403,-0.0460454375682247
inflate_only,0.5,1.5,BitMEX,16525,0.19909228441754917,0.0,5.5399963448992016e-05,0.00011349384974192708,7.248443719815411e-05,174685.51432590943,217066.94728090032,43050.0,0.2896456259444776,0.3795071464279529,0.08096005414623009
inflate_only,0.5,1.5,Bitfinex,16525,0.06069591527987897,0.0,5.394582661442419e-06,2.604945089514449e-05,1.8165011760511788e-05,173068.20061333792,173723.03817523085,-424.84854391461704,0.0299509974043046,0.0442636262293074,0.014310497601373796
inflate_only,0.5,1.5,Bitstamp,16400,0.04097560975609756,0.0,1.8932202571934793e-06,1.4286495077426285e-05,7.5864997295443935e-06,172577.6297308083,174789.88387701806,199.55661488141777,0.01577218857030295,0.0234731712026239,0.007700982632320951
inflate_only,0.5,1.5,Coinbase,16984,0.1784620819594913,0.0,2.693107063046971e-05,8.354442960340851e-05,3.960207425617644e-05,169140.71941106714,216549.85251388012,43641.15035919016,0.25727676386615383,0.3419298436635412,0.08081722510043224
inflate_only,0.5,1.5,KuCoin,16718,0.1292020576623998,0.0,2.1349113021490375e-05,6.0431369771951094e-05,3.496065304107841e-05,169648.86266253918,180899.63701327995,-10424.221562481587,0.10724798251259454,0.1526844254504067,0.04538203275792765
inflate_only,0.5,1.5,OKX,16848,0.12458452041785376,0.0,1.9999302215090955e-05,5.3250775296815923e-05,3.211786536087348e-05,170572.62809701342,181136.8732348982,-4999.920313301649,0.09706394919471681,0.1388569231247585,0.04164878742852745
